Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2012-01-01,Sunday,All Day,,Holiday,Argentina - New Year's Day,,,
2012-01-01,Sunday,All Day,,Holiday,Bahrain - New Year's Day,,,
2012-01-01,Sunday,All Day,,Holiday,Denmark - New Year's Day,,,
2012-01-01,Sunday,All Day,,Holiday,Jordan - New Year's Day,,,
2012-01-01,Sunday,All Day,,Holiday,Lebanon - New Year's Day,,,
2012-01-01,Sunday,All Day,,Holiday,Morocco - New Year's Day,,,
2012-01-01,Sunday,17:00,USD,High,10-Year Note Auction  (Dec),2.00%,,2.00%
2012-01-01,Sunday,17:00,MXN,Low,1st Half-Month CPI  (Dec),0.61%,,0.97%
2012-01-01,Sunday,17:00,MXN,Low,1st Half-Month Core CPI  (Dec),0.20%,,0.25%
2012-01-01,Sunday,17:00,USD,Medium,3-Year Note Auction  (Dec),0.25%,,0.38%
2012-01-01,Sunday,17:00,USD,High,30-Year Bond Auction  (Dec),3.13%,,3.13%
2012-01-01,Sunday,17:00,USD,Medium,5-Year TIPS Auction  (Dec),0.13%,,0.13%
2012-01-01,Sunday,17:00,USD,Low,52-Week Bill Auction  (Dec),0.11%,,0.10%
2012-01-01,Sunday,17:00,USD,Low,6-Month Bill Auction  (Dec),0.06%,,0.07%
2012-01-01,Sunday,17:00,USD,Medium,7-Year Note Auction  (Dec),1.38%,,1.38%
2012-01-01,Sunday,17:00,USD,Low,All Car Sales  (Dec),6.31M,,6.28M
2012-01-01,Sunday,17:00,USD,Low,All Truck Sales  (Dec),7.19M,,6.98M
2012-01-01,Sunday,17:00,GBP,Low,Average Earnings ex Bonus  (Dec),1.90%,,1.90%
2012-01-01,Sunday,17:00,INR,Low,Bank Loan Growth  (Dec),16.75%,,17.93%
2012-01-01,Sunday,17:00,GBP,Low,BoE Consumer Credit  (Dec),-0.79B,,0.26B
2012-01-01,Sunday,17:00,GBP,Medium,BoE QE Total  (Dec),275.00B,,275.00B
2012-01-01,Sunday,17:00,CAD,Low,Budget Balance  (Dec),-0.54B,,-1.63B
2012-01-01,Sunday,17:00,CAD,Low,Budget Balance (YoY)  (Dec),-17.69B,,-17.34B
2012-01-01,Sunday,17:00,USD,Low,Building Permits (MoM)  (Dec),-0.10%,,5.70%
2012-01-01,Sunday,17:00,USD,Low,CB Employment Trends Index  (Dec),109.30,,108.10
2012-01-01,Sunday,17:00,MXN,Medium,CPI (MoM)  (Dec),0.82%,,1.08%
2012-01-01,Sunday,17:00,SEK,Medium,CPI (MoM)  (Dec),0.20%,,0.20%
2012-01-01,Sunday,17:00,KRW,Low,CPI (MoM)  (Dec),0.40%,,0.10%
2012-01-01,Sunday,17:00,GBP,Medium,CPI (MoM)  (Dec),0.40%,,0.20%
2012-01-01,Sunday,17:00,CAD,Low,CPI (YoY)  (Dec),2.30%,,2.90%
2012-01-01,Sunday,17:00,CHF,Low,CPI (YoY)  (Dec),-0.70%,,-0.50%
2012-01-01,Sunday,17:00,USD,Low,"CPI Index, n.s.a.  (Dec)",225.67,,226.23
2012-01-01,Sunday,17:00,SEK,Low,CPIF (CPI at constant interest rates) (MoM)  (Dec),0.00%,,0.20%
2012-01-01,Sunday,17:00,SEK,Low,CPIF (CPI at constant interest rates) (YoY)  (Dec),0.50%,,1.10%
2012-01-01,Sunday,17:00,INR,Low,Cash Reserve Ratio  (Dec),6.00%,,6.00%
2012-01-01,Sunday,17:00,USD,Low,Chain Store Sales (MoM)  (Dec),3.50%,,2.80%
2012-01-01,Sunday,17:00,USD,Low,Chain Store Sales (WoW)  (Dec),1.02%,,0.12%
2012-01-01,Sunday,17:00,USD,Low,Chain Store Sales (YoY)  (Dec),4.28%,,3.26%
2012-01-01,Sunday,17:00,USD,Low,Challenger Job Cuts  (Dec),41.79K,,42.47K
2012-01-01,Sunday,17:00,USD,Low,Cleveland CPI (MoM)  (Dec),0.20%,,0.20%
2012-01-01,Sunday,17:00,MXN,Low,Consumer Confidence  (Dec),90.60,,91.50
2012-01-01,Sunday,17:00,SEK,Low,Consumer Confidence  (Dec),91.40,,90.20
2012-01-01,Sunday,17:00,MXN,Low,Consumer Confidence n.s.a.  (Dec),90.80,,89.50
2012-01-01,Sunday,17:00,MXN,Low,Core CPI (MoM)  (Dec),0.51%,,0.32%
2012-01-01,Sunday,17:00,CAD,Medium,Core CPI (YoY)  (Dec),1.90%,,2.10%
2012-01-01,Sunday,17:00,USD,Low,Core CPI Index  (Dec),227.33,,226.94
2012-01-01,Sunday,17:00,USD,High,Core PCE Price Index (YoY)  (Dec),2.00%,,1.80%
2012-01-01,Sunday,17:00,USD,Low,Core PPI (YoY)  (Dec),2.60%,,2.70%
2012-01-01,Sunday,17:00,GBP,Low,Core PPI Output (MoM)  (Dec),0.10%,,-0.10%
2012-01-01,Sunday,17:00,GBP,Low,Core PPI Output (YoY)  (Dec),2.60%,,2.60%
2012-01-01,Sunday,17:00,GBP,Low,Core RPI (MoM)  (Dec),0.40%,,0.20%
