Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2017-01-01,Sunday,All Day,,Holiday,Japan - New Year's Day,,,
2017-01-01,Sunday,All Day,,Holiday,Philippines - New Year's Day,,,
2017-01-01,Sunday,All Day,,Holiday,Ukraine - New Year's Day,,,
2017-01-01,Sunday,08:00,KRW,Low,Exports (YoY)  (Dec),6.4%,6.4%,2.5%
2017-01-01,Sunday,08:00,KRW,Low,Imports (YoY)  (Dec),7.3%,6.8%,9.3%
2017-01-01,Sunday,08:00,KRW,Low,Trade Balance  (Dec),7.00B,,8.20B
2017-01-01,Sunday,09:00,CNY,High,Manufacturing PMI  (Dec),51.4,51.5,51.7
2017-01-01,Sunday,09:00,CNY,Medium,Non-Manufacturing PMI  (Dec),54.5,,54.7
2017-01-01,Sunday,14:00,PEN,Low,CPI (MoM)  (Dec),0.33%,0.30%,0.29%
2017-01-02,Monday,All Day,,Holiday,Australia - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Canada - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,China - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Hong Kong - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Indonesia - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Ireland - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Japan - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,New Zealand - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Philippines - Special Non Working Holiday,,,
2017-01-02,Monday,All Day,,Holiday,Romania - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Russia - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Singapore - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,South Africa - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Switzerland - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Taiwan - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Thailand - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,Ukraine - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,United Kingdom - New Year's Day,,,
2017-01-02,Monday,All Day,,Holiday,United States - New Year's Day,,,
2017-01-02,Monday,08:30,KRW,Low,S&P Global South Korea Manufacturing PMI  (Dec),49.4,,48.0
2017-01-02,Monday,14:30,AUD,Medium,AUD/USD Index,56.6%,,49.5%
2017-01-02,Monday,14:30,CAD,Medium,USD/CAD Index,41.1%,,36.4%
2017-01-02,Monday,14:30,CHF,Medium,USD/CHF Index,51.8%,,33.9%
2017-01-02,Monday,14:30,EUR,Medium,EUR/USD Index,41.6%,,35.8%
2017-01-02,Monday,14:30,GBP,Medium,GBP/USD Index,50.0%,,45.7%
2017-01-02,Monday,14:30,JPY,Medium,USD/JPY Index,63.7%,,57.2%
2017-01-02,Monday,14:30,NZD,Medium,NZD/USD Index,48.9%,,47.6%
2017-01-02,Monday,14:30,USD,Medium,Gold Index,58.8%,,57.9%
2017-01-02,Monday,15:30,SEK,Low,Manufacturing PMI  (Dec),60.1,58.0,57.3
2017-01-02,Monday,16:00,EUR,Low,Austrian Unemployment Change  (Dec),410.4K,,355.7K
2017-01-02,Monday,16:00,EUR,Low,Austrian Unemployment Rate  (Dec),10.3%,,9.0%
2017-01-02,Monday,16:00,HUF,Low,Manufacturing PMI  (Dec),52.2,,56.3
2017-01-02,Monday,16:00,NOK,Low,Manufacturing PMI  (Dec),51.4,49.5,47.8
2017-01-02,Monday,18:45,EUR,Low,Dutch 3-Month T-bill Auction,-0.820%,,-0.749%
2017-01-02,Monday,18:45,EUR,Low,Dutch 6-Month T-bill Auction,-0.790%,,-0.728%
2017-01-02,Monday,22:00,EUR,Low,French 12-Month BTF Auction,-0.697%,,-0.665%
2017-01-02,Monday,22:00,EUR,Low,French 3-Month BTF Auction,-0.697%,,-0.741%
2017-01-02,Monday,22:00,EUR,Low,French 6-Month BTF Auction,-0.688%,,-0.715%
2017-01-03,Tuesday,All Day,,Holiday,Japan - New Year's Day,,,
2017-01-03,Tuesday,All Day,,Holiday,New Zealand - New Year's Day,,,
2017-01-03,Tuesday,All Day,,Holiday,Thailand - Special Holiday,,,
2017-01-03,Tuesday,All Day,,Holiday,Ukraine - Exchange Holiday,,,
2017-01-03,Tuesday,01:00,BRL,Low,Trade Balance  (Dec),4.41B,3.70B,4.76B
2017-01-03,Tuesday,05:00,ARS,Low,Tax Revenue  (Dec),275.54B,196.00B,182.27B
2017-01-03,Tuesday,06:30,AUD,Low,AIG Manufacturing Index,55.4,,54.2
2017-01-03,Tuesday,08:00,SGD,Low,GDP (QoQ)  (Q4),9.1%,3.7%,-1.9%
2017-01-03,Tuesday,08:00,SGD,Low,GDP (YoY)  (Q4),1.8%,0.6%,1.2%
2017-01-03,Tuesday,08:30,SGD,Low,URA Property Index (QoQ)  (Q4),-0.40%,,-1.50%
2017-01-03,Tuesday,12:00,IDR,Low,Core Inflation (YoY)  (Dec),3.07%,3.11%,3.07%
2017-01-03,Tuesday,12:00,IDR,Low,Foreign Tourism  (Nov),18.32%,,15.62%
2017-01-03,Tuesday,12:00,IDR,Low,Inflation (MoM)  (Dec),0.42%,0.54%,0.47%
2017-01-03,Tuesday,12:00,IDR,Low,Inflation (YoY)  (Dec),3.02%,3.10%,3.58%
2017-01-03,Tuesday,13:30,AUD,Low,Commodity Prices (YoY),45.5%,,28.7%
2017-01-03,Tuesday,14:30,TRY,Low,Exports  (Dec),12.82B,,11.95B
2017-01-03,Tuesday,15:00,TRY,Low,PPI (MoM),2.98%,,2.00%
2017-01-03,Tuesday,15:00,TRY,Low,PPI (YoY),9.94%,,6.41%
2017-01-03,Tuesday,15:00,TRY,Medium,CPI (MoM)  (Dec),1.64%,0.93%,0.52%
2017-01-03,Tuesday,15:00,TRY,Medium,CPI (YoY)  (Dec),8.53%,7.60%,7.00%
2017-01-03,Tuesday,15:45,EUR,Low,French HICP (YoY)  (Dec),0.8%,0.7%,0.7%
2017-01-03,Tuesday,15:45,EUR,Medium,French CPI (MoM)  (Dec),0.3%,0.2%,0.0%
2017-01-03,Tuesday,15:45,EUR,Medium,French HICP (MoM)  (Dec),0.3%,0.2%,0.0%
2017-01-03,Tuesday,16:30,CHF,Medium,Manufacturing PMI  (Dec),56.0,56.1,55.5
2017-01-03,Tuesday,16:30,HKD,Low,Retail Sales (YoY)  (Nov),-5.5%,,-2.9%
2017-01-03,Tuesday,16:55,EUR,Low,German Unemployment  (Dec),2.600M,,2.700M
2017-01-03,Tuesday,16:55,EUR,Low,German Unemployment n.s.a.  (Dec),2.600M,,2.532M
2017-01-03,Tuesday,16:55,EUR,Medium,German Unemployment Change  (Dec),-17K,-5K,-6K
2017-01-03,Tuesday,16:55,EUR,Medium,German Unemployment Rate  (Dec),6.0%,6.0%,6.0%
2017-01-03,Tuesday,18:40,EUR,Low,Belgium 3-Month T-bill Auction,-0.782%,,-0.750%
2017-01-03,Tuesday,18:40,EUR,Low,Belgium 6-Month T-bill Auction,-0.689%,,-0.596%
2017-01-03,Tuesday,19:00,EUR,Low,Latvian Industrial Production (MoM)  (Nov),2.8%,,2.4%
2017-01-03,Tuesday,19:00,EUR,Low,Latvian Industrial Production (YoY)  (Nov),11.0%,,6.7%
2017-01-03,Tuesday,19:00,EUR,Low,Portuguese Business Confidence  (Dec),1.2,,1.2
2017-01-03,Tuesday,19:00,EUR,Low,Portuguese Consumer Confidence  (Dec),-8.20,,-10.50
2017-01-03,Tuesday,21:00,CZK,Low,Budget Balance  (Dec),61.770B,,55.450B
2017-01-03,Tuesday,21:00,EUR,High,German CPI (MoM)  (Dec),0.7%,0.6%,0.1%
2017-01-03,Tuesday,21:00,EUR,Low,German HICP (MoM)  (Dec),1.0%,0.6%,0.0%
2017-01-03,Tuesday,21:00,EUR,Low,German HICP (YoY)  (Dec),1.7%,1.3%,0.7%
2017-01-03,Tuesday,21:00,EUR,Medium,German CPI (YoY)  (Dec),1.7%,1.5%,0.8%
2017-01-03,Tuesday,21:00,SGD,Low,S&P Global Manufacturing PMI  (Dec),50.6,,50.2
2017-01-03,Tuesday,22:10,NZD,Low,GlobalDairyTrade Price Index,-3.9%,,-0.5%
2017-01-03,Tuesday,23:00,USD,High,ISM Manufacturing PMI  (Dec),54.7,53.6,53.2
2017-01-03,Tuesday,23:00,USD,High,ISM Manufacturing Prices  (Dec),65.5,55.5,54.5
2017-01-03,Tuesday,23:00,USD,Low,ISM Manufacturing New Orders Index  (Dec),60.2,,53.0
2017-01-03,Tuesday,23:00,USD,Medium,Construction Spending (MoM)  (Nov),0.9%,0.6%,0.6%
2017-01-03,Tuesday,23:00,USD,Medium,ISM Manufacturing Employment  (Dec),53.1,52.5,52.3
2017-01-04,Wednesday,00:30,USD,Low,3-Month Bill Auction,0.530%,,0.555%
2017-01-04,Wednesday,00:30,USD,Low,4-Week Bill Auction,0.475%,,0.485%
2017-01-04,Wednesday,00:30,USD,Low,52-Week Bill Auction,0.870%,,0.830%
2017-01-04,Wednesday,00:30,USD,Low,6-Month Bill Auction,0.630%,,0.660%
2017-01-04,Wednesday,05:00,KRW,Low,FX Reserves - USD  (Dec),371.10B,,371.99B
2017-01-04,Wednesday,07:00,KRW,Low,Current Account  (Nov),7.14B,,6.01B
2017-01-04,Wednesday,08:00,GBP,Low,BRC Shop Price Index (YoY),-1.4%,,-1.7%
2017-01-04,Wednesday,12:00,THB,Low,CPI (YoY)  (Dec),1.13%,1.13%,0.60%
2017-01-04,Wednesday,12:00,THB,Low,Core CPI (YoY)  (Dec),0.74%,0.76%,0.72%
2017-01-04,Wednesday,14:00,EUR,Low,Estonian Industrial Production (MoM)  (Nov),1.50%,,-0.80%
2017-01-04,Wednesday,14:00,EUR,Low,Estonian Industrial Production (YoY)  (Nov),9.30%,,2.00%
2017-01-04,Wednesday,15:00,BRL,Medium,IPC-Fipe Inflation Index (MoM)  (Dec),0.72%,0.50%,0.15%
2017-01-04,Wednesday,15:30,SEK,Low,Services PMI (MoM)  (Dec),59.9,,59.8
2017-01-04,Wednesday,15:45,EUR,Low,French Consumer Confidence  (Dec),99,99,99
2017-01-04,Wednesday,16:00,EUR,Medium,Spanish Unemployment Change,-86.8K,-44.2K,24.8K
2017-01-04,Wednesday,16:00,HUF,Low,PPI (YoY)  (Nov),-0.5%,,-1.2%
2017-01-04,Wednesday,17:30,GBP,Low,BoE Consumer Credit  (Nov),1.926B,1.600B,1.683B
2017-01-04,Wednesday,17:30,GBP,Low,M4 Money Supply (MoM)  (Nov),0.4%,1.4%,1.1%
2017-01-04,Wednesday,17:30,GBP,Low,Mortgage Approvals  (Nov),67.50K,67.40K,67.37K
2017-01-04,Wednesday,17:30,GBP,Low,Mortgage Lending  (Nov),3.20B,3.50B,3.20B
2017-01-04,Wednesday,17:30,GBP,Low,Net Lending to Individuals,5.1B,4.9B,4.9B
2017-01-04,Wednesday,18:00,EUR,High,CPI (YoY)  (Dec),1.1%,1.0%,0.6%
2017-01-04,Wednesday,18:00,EUR,Low,Italian CPI (MoM)  (Dec),0.4%,0.3%,-0.1%
2017-01-04,Wednesday,18:00,EUR,Low,Italian CPI (YoY)  (Dec),0.5%,,0.1%
2017-01-04,Wednesday,18:00,EUR,Low,Italian HICP (MoM)  (Dec),0.4%,0.3%,-0.2%
2017-01-04,Wednesday,18:00,EUR,Low,Italian HICP (YoY)  (Dec),0.5%,0.4%,0.1%
2017-01-04,Wednesday,18:00,EUR,Medium,Core CPI (YoY)  (Dec),0.9%,0.8%,0.8%
2017-01-04,Wednesday,18:00,NOK,Low,House Price Index (YoY)  (Dec),12.80%,,11.60%
2017-01-04,Wednesday,18:20,EUR,Low,Greece 6-month T-bill Auction,2.97%,,2.97%
2017-01-04,Wednesday,19:30,INR,Low,M3 Money Supply  (2wk),6.5%,,7.1%
2017-01-04,Wednesday,20:00,USD,Low,MBA 30-Year Mortgage Rate,4.39%,,4.41%
2017-01-04,Wednesday,20:00,USD,Low,MBA Mortgage Applications (WoW),0.1%,,2.5%
2017-01-04,Wednesday,20:00,USD,Low,MBA Purchase Index,228.0,,232.9
2017-01-04,Wednesday,20:00,USD,Low,Mortgage Market Index,358.5,,407.3
2017-01-04,Wednesday,20:00,USD,Low,Mortgage Refinance Index,"1,132.0",,"1,449.4"
2017-01-04,Wednesday,21:55,USD,Low,Redbook (MoM),1.0%,,0.8%
2017-01-04,Wednesday,21:55,USD,Low,Redbook (YoY),2.2%,,2.1%
2017-01-04,Wednesday,22:30,BRL,Low,Foreign Exchange Flows,-1.09B,,4.99B
2017-01-04,Wednesday,22:45,USD,Low,ISM-New York Index  (Dec),727.4,,720.5
2017-01-05,Thursday,00:30,EUR,Low,Irish Exchequer Returns  (Dec),-1.010B,,1.521B
2017-01-05,Thursday,02:30,USD,Low,All Truck Sales  (Dec),11.17M,,10.71M
2017-01-05,Thursday,02:30,USD,Low,Domestic Truck Sales  (Dec),9.25M,8.70M,8.92M
2017-01-05,Thursday,03:00,USD,High,FOMC Meeting Minutes,,,
2017-01-05,Thursday,04:00,USD,Low,All Car Sales,7.26M,,7.16M
2017-01-05,Thursday,04:00,USD,Low,Domestic Car Sales,5.30M,,5.21M
2017-01-05,Thursday,04:00,USD,Low,Total Vehicle Sales,18.43M,17.69M,17.87M
2017-01-05,Thursday,04:30,USD,Medium,Fed's Balance Sheet,"4,453.10B",,"4,451.45B"
2017-01-05,Thursday,05:35,USD,Medium,API Weekly Crude Oil Stock,-7.430M,-1.700M,4.200M
2017-01-05,Thursday,06:30,AUD,Low,AIG Services Index  (Dec),57.7,,51.1
