Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2013-01-01,Tuesday,All Day,,Holiday,Argentina - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Australia - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Austria - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Bahrain - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Belgium - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Brazil - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Bulgaria - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Canada - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Chile - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,China - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Colombia - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Croatia - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Czech Republic - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Denmark - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Egypt - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Finland - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,France - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Germany - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Greece - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Hong Kong - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Hungary - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Iceland - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Indonesia - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Ireland - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Italy - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Japan - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Jordan - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Kenya - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Kuwait - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Lebanon - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Luxembourg - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Malaysia - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Morocco - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Netherlands - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Norway - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Palestinian Territory - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Peru - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Philippines - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Poland - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Portugal - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Qatar - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Romania - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Russia - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Singapore - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Slovenia - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,South Africa - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,South Korea - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Spain - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Sweden - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Switzerland - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Taiwan - Memorial Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Taiwan - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Thailand - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Tunisia - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Türkiye - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Ukraine - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,United Arab Emirates - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,United Kingdom - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,United States - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Venezuela - New Year's Day,,,
2013-01-01,Tuesday,All Day,,Holiday,Vietnam - New Year's Day,,,
2013-01-01,Tuesday,09:00,CNY,High,Manufacturing PMI,50.60,51.00,50.60
2013-01-01,Tuesday,13:00,PEN,Low,CPI (MoM),0.26%,0.35%,-0.14%
2013-01-01,Tuesday,17:00,MXN,Low,1st Half-Month CPI  (Dec),0.27%,,0.79%
2013-01-01,Tuesday,17:00,MXN,Low,1st Half-Month Core CPI  (Dec),0.26%,,0.18%
2013-01-01,Tuesday,17:00,USD,Medium,5-Year TIPS Auction  (Dec),0.13%,,0.13%
2013-01-01,Tuesday,17:00,AUD,Low,ANZ Internet Job Ads (MoM)  (Dec),-1.80%,,-1.90%
2013-01-01,Tuesday,17:00,AUD,Low,ANZ Newspaper Job Ads (MoM)  (Dec),-2.20%,,-3.70%
2013-01-01,Tuesday,17:00,USD,Low,All Car Sales  (Dec),7.60M,,7.58M
2013-01-01,Tuesday,17:00,USD,Low,All Truck Sales  (Dec),7.64M,,7.55M
2013-01-01,Tuesday,17:00,BRL,Low,Auto Production (MoM)  (Dec),-14.74%,,-3.01%
2013-01-01,Tuesday,17:00,GBP,Low,Average Earnings ex Bonus  (Dec),1.30%,,1.40%
2013-01-01,Tuesday,17:00,EUR,Low,Belgium CPI (YoY)  (Dec),2.23%,,2.26%
2013-01-01,Tuesday,17:00,ARS,Low,Budget Balance  (Dec),"-11,045.80M",,-723.30M
2013-01-01,Tuesday,17:00,BRL,Low,Budget Balance  (Dec),3.15B,,-21.85B
2013-01-01,Tuesday,17:00,CAD,Low,Budget Balance (YoY)  (Dec),-14.35B,,-13.62B
2013-01-01,Tuesday,17:00,BRL,Low,Budget Surplus  (Dec),22.25B,,-5.52B
2013-01-01,Tuesday,17:00,USD,Low,Building Permits (MoM)  (Dec),0.30%,,3.60%
2013-01-01,Tuesday,17:00,BRL,Low,CAGED Net Payroll Jobs  (Dec),-497.00K,,46.00K
2013-01-01,Tuesday,17:00,BRL,Low,CPI (MoM)  (Dec),0.79%,,0.60%
2013-01-01,Tuesday,17:00,MXN,Medium,CPI (MoM)  (Dec),0.23%,,0.68%
2013-01-01,Tuesday,17:00,SEK,Medium,CPI (MoM)  (Dec),0.30%,,-0.20%
