Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2021-01-01,Friday,All Day,,Holiday,Argentina - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Australia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Austria - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Bahrain - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Bangladesh - Bank Holiday,,,
2021-01-01,Friday,All Day,,Holiday,Belgium - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Bosnia-Herzegovina - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Botswana - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Brazil - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Bulgaria - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Canada - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Chile - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,China - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Colombia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Costa Rica - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Croatia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Czech Republic - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Denmark - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Egypt - Bank Holiday,,,
2021-01-01,Friday,All Day,,Holiday,Estonia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Finland - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,France - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Germany - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Greece - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Hong Kong - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Hungary - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Iceland - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Indonesia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Ireland - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Italy - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Jamaica - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Japan - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Jordan - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Kazakhstan - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Kenya - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Kuwait - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Latvia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Lebanon - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Lithuania - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Luxembourg - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Malaysia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Malta - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Mauritius - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Mexico - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Mongolia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Montenegro - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Morocco - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Namibia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Netherlands - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,New Zealand - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Nigeria - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Norway - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Peru - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Philippines - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Poland - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Portugal - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Qatar - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Romania - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Russia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Rwanda - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Serbia - New Year's Day,,,
2021-01-01,Friday,All Day,,Holiday,Singapore - New Year's Day,,,
