Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2015-01-01,Thursday,All Day,,Holiday,Argentina - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Australia - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Austria - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Bahrain - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Belgium - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Botswana - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Brazil - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Bulgaria - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Canada - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Chile - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,China - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Colombia - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Costa Rica - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Croatia - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Cyprus - First of January,,,
2015-01-01,Thursday,All Day,,Holiday,Czech Republic - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Denmark - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Egypt - Bank Holiday,,,
2015-01-01,Thursday,All Day,,Holiday,Estonia - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Finland - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,France - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Germany - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Greece - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Hong Kong - The first day of January,,,
2015-01-01,Thursday,All Day,,Holiday,Hungary - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Iceland - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Indonesia - New Year's Day,,,
2015-01-01,Thursday,All Day,,Holiday,Ireland - New Year's Day,,,
