EventId,Date,Time,Period,Actual,Forecast,Previous
NA::Argentina - New Year's Day::none,2013-01-01,All Day,,,,
NA::Australia - New Year's Day::none,2013-01-01,All Day,,,,
NA::Austria - New Year's Day::none,2013-01-01,All Day,,,,
NA::Bahrain - New Year's Day::none,2013-01-01,All Day,,,,
NA::Belgium - New Year's Day::none,2013-01-01,All Day,,,,
NA::Brazil - New Year's Day::none,2013-01-01,All Day,,,,
NA::Bulgaria - New Year's Day::none,2013-01-01,All Day,,,,
NA::Canada - New Year's Day::none,2013-01-01,All Day,,,,
NA::Chile - New Year's Day::none,2013-01-01,All Day,,,,
NA::China - New Year's Day::none,2013-01-01,All Day,,,,
NA::Colombia - New Year's Day::none,2013-01-01,All Day,,,,
NA::Croatia - New Year's Day::none,2013-01-01,All Day,,,,
NA::Czech Republic - New Year's Day::none,2013-01-01,All Day,,,,
NA::Denmark - New Year's Day::none,2013-01-01,All Day,,,,
NA::Egypt - New Year's Day::none,2013-01-01,All Day,,,,
NA::Finland - New Year's Day::none,2013-01-01,All Day,,,,
NA::France - New Year's Day::none,2013-01-01,All Day,,,,
NA::Germany - New Year's Day::none,2013-01-01,All Day,,,,
NA::Greece - New Year's Day::none,2013-01-01,All Day,,,,
NA::Hong Kong - New Year's Day::none,2013-01-01,All Day,,,,
NA::Hungary - New Year's Day::none,2013-01-01,All Day,,,,
NA::Iceland - New Year's Day::none,2013-01-01,All Day,,,,
NA::Indonesia - New Year's Day::none,2013-01-01,All Day,,,,
NA::Ireland - New Year's Day::none,2013-01-01,All Day,,,,
NA::Italy - New Year's Day::none,2013-01-01,All Day,,,,
NA::Japan - New Year's Day::none,2013-01-01,All Day,,,,
NA::Jordan - New Year's Day::none,2013-01-01,All Day,,,,
NA::Kenya - New Year's Day::none,2013-01-01,All Day,,,,
NA::Kuwait - New Year's Day::none,2013-01-01,All Day,,,,
NA::Lebanon - New Year's Day::none,2013-01-01,All Day,,,,
NA::Luxembourg - New Year's Day::none,2013-01-01,All Day,,,,
NA::Malaysia - New Year's Day::none,2013-01-01,All Day,,,,
NA::Morocco - New Year's Day::none,2013-01-01,All Day,,,,
NA::Netherlands - New Year's Day::none,2013-01-01,All Day,,,,
NA::Norway - New Year's Day::none,2013-01-01,All Day,,,,
NA::Palestinian Territory - New Year's Day::none,2013-01-01,All Day,,,,
NA::Peru - New Year's Day::none,2013-01-01,All Day,,,,
NA::Philippines - New Year's Day::none,2013-01-01,All Day,,,,
NA::Poland - New Year's Day::none,2013-01-01,All Day,,,,
NA::Portugal - New Year's Day::none,2013-01-01,All Day,,,,
NA::Qatar - New Year's Day::none,2013-01-01,All Day,,,,
NA::Romania - New Year's Day::none,2013-01-01,All Day,,,,
NA::Russia - New Year's Day::none,2013-01-01,All Day,,,,
NA::Singapore - New Year's Day::none,2013-01-01,All Day,,,,
NA::Slovenia - New Year's Day::none,2013-01-01,All Day,,,,
NA::South Africa - New Year's Day::none,2013-01-01,All Day,,,,
NA::South Korea - New Year's Day::none,2013-01-01,All Day,,,,
NA::Spain - New Year's Day::none,2013-01-01,All Day,,,,
NA::Sweden - New Year's Day::none,2013-01-01,All Day,,,,
NA::Switzerland - New Year's Day::none,2013-01-01,All Day,,,,
NA::Taiwan - Memorial Day::none,2013-01-01,All Day,,,,
NA::Taiwan - New Year's Day::none,2013-01-01,All Day,,,,
NA::Thailand - New Year's Day::none,2013-01-01,All Day,,,,
NA::Tunisia - New Year's Day::none,2013-01-01,All Day,,,,
NA::Türkiye - New Year's Day::none,2013-01-01,All Day,,,,
NA::Ukraine - New Year's Day::none,2013-01-01,All Day,,,,
NA::United Arab Emirates - New Year's Day::none,2013-01-01,All Day,,,,
NA::United Kingdom - New Year's Day::none,2013-01-01,All Day,,,,
NA::United States - New Year's Day::none,2013-01-01,All Day,,,,
NA::Venezuela - New Year's Day::none,2013-01-01,All Day,,,,
NA::Vietnam - New Year's Day::none,2013-01-01,All Day,,,,
CNY::Manufacturing PMI::none,2013-01-01,09:00,,50.60,51.00,50.60
PEN::CPI::m/m,2013-01-01,13:00,,0.26%,0.35%,-0.14%
MXN::1st Half-Month CPI::none,2013-01-01,17:00,dec,0.27%,,0.79%
MXN::1st Half-Month Core CPI::none,2013-01-01,17:00,dec,0.26%,,0.18%
USD::5-Year TIPS Auction::none,2013-01-01,17:00,dec,0.13%,,0.13%
AUD::ANZ Internet Job Ads::m/m,2013-01-01,17:00,dec,-1.80%,,-1.90%
AUD::ANZ Newspaper Job Ads::m/m,2013-01-01,17:00,dec,-2.20%,,-3.70%
USD::All Car Sales::none,2013-01-01,17:00,dec,7.60M,,7.58M
USD::All Truck Sales::none,2013-01-01,17:00,dec,7.64M,,7.55M
BRL::Auto Production::m/m,2013-01-01,17:00,dec,-14.74%,,-3.01%
GBP::Average Earnings ex Bonus::none,2013-01-01,17:00,dec,1.30%,,1.40%
EUR::Belgium CPI::y/y,2013-01-01,17:00,dec,2.23%,,2.26%
ARS::Budget Balance::none,2013-01-01,17:00,dec,"-11,045.80M",,-723.30M
BRL::Budget Balance::none,2013-01-01,17:00,dec,3.15B,,-21.85B
CAD::Budget Balance::y/y,2013-01-01,17:00,dec,-14.35B,,-13.62B
BRL::Budget Surplus::none,2013-01-01,17:00,dec,22.25B,,-5.52B
USD::Building Permits::m/m,2013-01-01,17:00,dec,0.30%,,3.60%
BRL::CAGED Net Payroll Jobs::none,2013-01-01,17:00,dec,-497.00K,,46.00K
BRL::CPI::m/m,2013-01-01,17:00,dec,0.79%,,0.60%
MXN::CPI::m/m,2013-01-01,17:00,dec,0.23%,,0.68%
SEK::CPI::m/m,2013-01-01,17:00,dec,0.30%,,-0.20%
CHF::CPI::y/y,2013-01-01,17:00,dec,-0.40%,,-0.40%
NGN::CPI::y/y,2013-01-01,17:00,dec,11.98%,,12.27%
"USD::CPI Index, n.s.a.::none",2013-01-01,17:00,dec,229.60,,230.22
SEK::CPIF (CPI at constant interest rates)::m/m,2013-01-01,17:00,dec,0.30%,,-0.20%
SEK::CPIF (CPI at constant interest rates)::y/y,2013-01-01,17:00,dec,1.00%,,0.80%
