EventId,Cur,Event,Period,Date,Time,ActualRaw,ActualEffective,ActualRevisedFrom,Forecast,PreviousRaw,Previous,PreviousRevisedFrom
NA::Argentina - New Year's Day::none,,Argentina - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Australia - New Year's Day::none,,Australia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Austria - New Year::none,,Austria - New Year,,2016-01-01,All Day,,,,,,,
NA::Austria - New Year's Day::none,,Austria - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Bahrain - New Year's Day::none,,Bahrain - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Belgium - New Year's Day::none,,Belgium - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Botswana - New Year's Day::none,,Botswana - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Brazil - New Year's Day::none,,Brazil - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Bulgaria - New Year's Day::none,,Bulgaria - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Canada - New Year's Day::none,,Canada - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Chile - New Year's Day::none,,Chile - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::China - New Year's Day::none,,China - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Colombia - New Year's Day::none,,Colombia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Costa Rica - New Year's Day::none,,Costa Rica - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Croatia - New Year's Day::none,,Croatia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Cyprus - New Year's Day::none,,Cyprus - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Czech Republic - New Year's Day::none,,Czech Republic - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Denmark - New Year's Day::none,,Denmark - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Egypt - Bank Holiday::none,,Egypt - Bank Holiday,,2016-01-01,All Day,,,,,,,
NA::Estonia - New Year's Day::none,,Estonia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Finland - New Year's Day::none,,Finland - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::France - New Year's Day::none,,France - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Germany - New Year's Day::none,,Germany - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Greece - New Year's Day::none,,Greece - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Hong Kong - New Year's Day::none,,Hong Kong - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Hungary - New Year's Day::none,,Hungary - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Iceland - New Year::none,,Iceland - New Year,,2016-01-01,All Day,,,,,,,
NA::Indonesia - New Year's Day::none,,Indonesia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Ireland - New Year's Day::none,,Ireland - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Italy - New Year's Day::none,,Italy - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Japan - New Year's Day::none,,Japan - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Jordan - New Year::none,,Jordan - New Year,,2016-01-01,All Day,,,,,,,
NA::Latvia - New Year's Day::none,,Latvia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Lebanon - New Year::none,,Lebanon - New Year,,2016-01-01,All Day,,,,,,,
NA::Lithuania - New Year's Day::none,,Lithuania - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Luxembourg - New Year's Day::none,,Luxembourg - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Malawi - New Year's Day::none,,Malawi - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Malaysia - New Year's Day::none,,Malaysia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Malta - New Year's Day::none,,Malta - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Mauritius - New Year's Day::none,,Mauritius - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Mexico - New Year's Day::none,,Mexico - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Morocco - New Year's Day::none,,Morocco - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Namibia - New Year's Day::none,,Namibia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Netherlands - New Year's Day::none,,Netherlands - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::New Zealand - New Year's Day::none,,New Zealand - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Norway - New Year's Day::none,,Norway - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Palestinian Territory - New Year::none,,Palestinian Territory - New Year,,2016-01-01,All Day,,,,,,,
NA::Peru - New Year's Day::none,,Peru - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Philippines - New Year's Day::none,,Philippines - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Poland - New Year's Day::none,,Poland - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Portugal - New Year's Day::none,,Portugal - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Romania - New Year's Day::none,,Romania - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Russia - New Year's Day::none,,Russia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Rwanda - New Year's Day::none,,Rwanda - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Singapore - New Year's Day::none,,Singapore - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Slovakia - Republic Day::none,,Slovakia - Republic Day,,2016-01-01,All Day,,,,,,,
NA::Slovenia - New Year's Day::none,,Slovenia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::South Africa - New Year's Day::none,,South Africa - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::South Korea - New Year's Day::none,,South Korea - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Spain - New Year's Day::none,,Spain - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Sri Lanka - Bank Holiday::none,,Sri Lanka - Bank Holiday,,2016-01-01,All Day,,,,,,,
NA::Sweden - New Year's Day::none,,Sweden - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Switzerland - New Year's Day::none,,Switzerland - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Taiwan - New Year's Day::none,,Taiwan - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Tanzania - New Year's Day::none,,Tanzania - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Thailand - New Year's Day::none,,Thailand - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Tunisia - New Year::none,,Tunisia - New Year,,2016-01-01,All Day,,,,,,,
NA::Türkiye - New Year's Day::none,,Türkiye - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Uganda - New Year's Day::none,,Uganda - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Ukraine - New Year's Day::none,,Ukraine - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::United Arab Emirates - New Year's Day::none,,United Arab Emirates - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::United Kingdom - New Year's Day::none,,United Kingdom - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::United States - New Year's Day::none,,United States - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Venezuela - New Year's Day::none,,Venezuela - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Vietnam - New Year's Day::none,,Vietnam - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Zambia - New Year's Day::none,,Zambia - New Year's Day,,2016-01-01,All Day,,,,,,,
NA::Zimbabwe - New Year's Day::none,,Zimbabwe - New Year's Day,,2016-01-01,All Day,,,,,,,
USD::U.S. Baker Hughes Oil Rig Count::none,USD,U.S. Baker Hughes Oil Rig Count,,2016-01-01,02:00,536,536,,,538,538,
KRW::Exports::y/y,KRW,Exports (YoY)  (Dec),dec,2016-01-01,08:00,-13.8%,-13.8%,,-10.9%,-4.8%,-4.8%,
KRW::Imports::y/y,KRW,Imports (YoY)  (Dec),dec,2016-01-01,08:00,-19.2%,-19.2%,,-18.6%,-17.6%,-17.6%,
KRW::Trade Balance::none,KRW,Trade Balance  (Dec),dec,2016-01-01,08:00,7.20B,7.20B,,8.82B,10.30B,10.30B,
CNY::Manufacturing PMI::none,CNY,Manufacturing PMI  (Dec),dec,2016-01-01,09:00,49.7,49.7,,49.7,49.6,49.6,
CNY::Non-Manufacturing PMI::none,CNY,Non-Manufacturing PMI  (Dec),dec,2016-01-01,09:00,54.4,54.4,,,53.6,53.6,
PEN::CPI::m/m,PEN,CPI (MoM)  (Dec),dec,2016-01-01,14:00,0.45%,0.45%,,0.26%,0.34%,0.34%,
NA::Rwanda - Day After New Year's::none,,Rwanda -  Day After New Year's,,2016-01-02,All Day,,,,,,,
NA::Kuwait - New-Year Holidays::none,,Kuwait - New-Year Holidays,,2016-01-03,All Day,,,,,,,
NA::New Zealand - New Year (Observed)::none,,New Zealand - New Year (Observed),,2016-01-04,All Day,,,,,,,
NA::Ukraine - Exchange Holiday::none,,Ukraine - Exchange Holiday,,2016-01-04,All Day,,,,,,,
USD::FOMC Member Stanley Fischer Speaks::none,USD,FOMC Member Stanley Fischer Speaks,,2016-01-04,02:15,,,,,,,
AUD::AIG Manufacturing Index::none,AUD,AIG Manufacturing Index  (Dec),dec,2016-01-04,06:30,51.9,51.9,,,52.5,52.5,
USD::FOMC Member Mester Speaks::none,USD,FOMC Member Mester Speaks,,2016-01-04,06:30,,,,,,,
SGD::GDP::q/q,SGD,GDP (QoQ)  (Q4),q4,2016-01-04,08:00,5.7%,1.9%,5.7%,1.7%,1.7%,1.7%,1.9%
SGD::GDP::y/y,SGD,GDP (YoY)  (Q4),q4,2016-01-04,08:00,2.0%,2.0%,,1.3%,1.8%,1.8%,1.9%
SGD::URA Property Index::q/q,SGD,URA Property Index (QoQ)  (Q4),q4,2016-01-04,08:30,-0.50%,-0.50%,,,-1.30%,-1.30%,
KRW::S&P Global South Korea Manufacturing PMI::none,KRW,S&P Global South Korea Manufacturing PMI  (Dec),dec,2016-01-04,09:40,50.7,50.7,,,49.1,49.1,
THB::CPI::y/y,THB,CPI (YoY)  (Dec),dec,2016-01-04,11:30,-0.85%,-0.85%,,-0.81%,-0.97%,-0.97%,
THB::Core CPI::y/y,THB,Core CPI (YoY)  (Dec),dec,2016-01-04,11:30,0.68%,0.68%,,0.75%,0.88%,0.88%,
IDR::Foreign Tourism::none,IDR,Foreign Tourism  (Nov),nov,2016-01-04,12:00,1.70%,1.70%,,,2.11%,2.11%,
IDR::Core Inflation::y/y,IDR,Core Inflation (YoY)  (Dec),dec,2016-01-04,12:00,3.95%,3.95%,,4.17%,4.77%,4.77%,
IDR::Inflation::m/m,IDR,Inflation (MoM)  (Dec),dec,2016-01-04,12:00,0.96%,0.96%,,0.61%,0.21%,0.21%,
IDR::Inflation::y/y,IDR,Inflation (YoY)  (Dec),dec,2016-01-04,12:00,3.35%,3.35%,,3.00%,4.89%,4.89%,
AUD::Commodity Prices::y/y,AUD,Commodity Prices (YoY),,2016-01-04,13:30,-23.3%,-22.7%,-23.3%,,-21.8%,-21.8%,-22.0%
EUR::Estonian Retail Sales::m/m,EUR,Estonian Retail Sales (MoM)  (Nov),nov,2016-01-04,14:00,-6.00%,-6.00%,,,6.00%,6.00%,
EUR::Estonian Retail Sales::y/y,EUR,Estonian Retail Sales (YoY)  (Nov),nov,2016-01-04,14:00,6.00%,6.00%,,,8.00%,8.00%,
SEK::Manufacturing PMI::none,SEK,Manufacturing PMI  (Dec),dec,2016-01-04,15:30,56.0,56.0,,55.2,54.9,54.9,
EUR::Austrian Unemployment Change::none,EUR,Austrian Unemployment Change  (Dec),dec,2016-01-04,16:00,417.5K,417.5K,,,359.3K,359.3K,
EUR::Austrian Unemployment Rate::none,EUR,Austrian Unemployment Rate  (Dec),dec,2016-01-04,16:00,10.6%,10.6%,,,9.2%,9.2%,
TRY::CPI::m/m,TRY,CPI (MoM)  (Dec),dec,2016-01-04,16:00,0.21%,0.21%,,0.10%,0.67%,0.67%,
TRY::CPI::y/y,TRY,CPI (YoY)  (Dec),dec,2016-01-04,16:00,8.81%,8.81%,,8.50%,8.10%,8.10%,
HUF::Manufacturing PMI::none,HUF,Manufacturing PMI  (Dec),dec,2016-01-04,16:00,49.1,49.9,49.1,,55.8,55.8,56.2
TRY::PPI::m/m,TRY,PPI (MoM)  (Dec),dec,2016-01-04,16:00,-0.33%,-0.33%,,-0.05%,-1.42%,-1.42%,
TRY::PPI::y/y,TRY,PPI (YoY)  (Dec),dec,2016-01-04,16:00,5.71%,5.71%,,6.03%,5.25%,5.25%,
HKD::Retail Sales::y/y,HKD,Retail Sales (YoY)  (Nov),nov,2016-01-04,16:30,-7.8%,-7.8%,,-6.4%,-3.0%,-3.0%,
CHF::Manufacturing PMI::none,CHF,Manufacturing PMI  (Dec),dec,2016-01-04,16:30,52.1,49.6,52.1,50.2,48.7,48.7,49.7
GBP::BoE Consumer Credit::none,GBP,BoE Consumer Credit  (Nov),nov,2016-01-04,17:30,1.476B,1.479B,1.476B,1.300B,1.207B,1.207B,1.178B
GBP::M4 Money Supply::m/m,GBP,M4 Money Supply (MoM)  (Nov),nov,2016-01-04,17:30,0.4%,0.4%,,0.5%,0.6%,0.6%,
