EventId,Cur,Event,Period,Date,Time,ActualRaw,ActualEffective,ActualRevisedFrom,Forecast,PreviousRaw,Previous,PreviousRevisedFrom
NA::Argentina - New Year's Day::none,,Argentina - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Australia - New Year's Day::none,,Australia - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Austria - New Year's Day::none,,Austria - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Bahrain - New Year's Day::none,,Bahrain - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Belgium - New Year's Day::none,,Belgium - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Brazil - New Year's Day::none,,Brazil - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Bulgaria - New Year's Day::none,,Bulgaria - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Canada - New Year's Day::none,,Canada - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Chile - New Year's Day::none,,Chile - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::China - New Year's Day::none,,China - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Colombia - New Year's Day::none,,Colombia - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Croatia - New Year's Day::none,,Croatia - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Czech Republic - New Year's Day::none,,Czech Republic - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Denmark - New Year's Day::none,,Denmark - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Egypt - New Year's Day::none,,Egypt - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Finland - New Year's Day::none,,Finland - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::France - New Year's Day::none,,France - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Germany - New Year's Day::none,,Germany - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Greece - New Year's Day::none,,Greece - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Hong Kong - New Year's Day::none,,Hong Kong - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Hungary - New Year's Day::none,,Hungary - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Iceland - New Year's Day::none,,Iceland - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Indonesia - New Year's Day::none,,Indonesia - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Ireland - New Year's Day::none,,Ireland - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Italy - New Year's Day::none,,Italy - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Japan - New Year's Day::none,,Japan - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Jordan - New Year's Day::none,,Jordan - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Kenya - New Year's Day::none,,Kenya - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Kuwait - New Year's Day::none,,Kuwait - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Lebanon - New Year's Day::none,,Lebanon - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Luxembourg - New Year's Day::none,,Luxembourg - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Malaysia - New Year's Day::none,,Malaysia - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Morocco - New Year's Day::none,,Morocco - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Netherlands - New Year's Day::none,,Netherlands - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Norway - New Year's Day::none,,Norway - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Palestinian Territory - New Year's Day::none,,Palestinian Territory - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Peru - New Year's Day::none,,Peru - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Philippines - New Year's Day::none,,Philippines - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Poland - New Year's Day::none,,Poland - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Portugal - New Year's Day::none,,Portugal - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Qatar - New Year's Day::none,,Qatar - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Romania - New Year's Day::none,,Romania - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Russia - New Year's Day::none,,Russia - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Singapore - New Year's Day::none,,Singapore - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Slovenia - New Year's Day::none,,Slovenia - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::South Africa - New Year's Day::none,,South Africa - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::South Korea - New Year's Day::none,,South Korea - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Spain - New Year's Day::none,,Spain - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Sweden - New Year's Day::none,,Sweden - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Switzerland - New Year's Day::none,,Switzerland - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Taiwan - Memorial Day::none,,Taiwan - Memorial Day,,2013-01-01,All Day,,,,,,,
NA::Taiwan - New Year's Day::none,,Taiwan - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Thailand - New Year's Day::none,,Thailand - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Tunisia - New Year's Day::none,,Tunisia - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Türkiye - New Year's Day::none,,Türkiye - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Ukraine - New Year's Day::none,,Ukraine - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::United Arab Emirates - New Year's Day::none,,United Arab Emirates - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::United Kingdom - New Year's Day::none,,United Kingdom - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::United States - New Year's Day::none,,United States - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Venezuela - New Year's Day::none,,Venezuela - New Year's Day,,2013-01-01,All Day,,,,,,,
NA::Vietnam - New Year's Day::none,,Vietnam - New Year's Day,,2013-01-01,All Day,,,,,,,
CNY::Manufacturing PMI::none,CNY,Manufacturing PMI,,2013-01-01,09:00,50.60,50.60,,51.00,50.60,50.60,
PEN::CPI::m/m,PEN,CPI (MoM),,2013-01-01,13:00,0.26%,0.26%,,0.35%,-0.14%,-0.14%,
MXN::1st Half-Month CPI::none,MXN,1st Half-Month CPI  (Dec),dec,2013-01-01,17:00,0.27%,0.27%,,,0.79%,0.79%,
MXN::1st Half-Month Core CPI::none,MXN,1st Half-Month Core CPI  (Dec),dec,2013-01-01,17:00,0.26%,0.26%,,,0.18%,0.18%,
USD::5-Year TIPS Auction::none,USD,5-Year TIPS Auction  (Dec),dec,2013-01-01,17:00,0.13%,0.13%,,,0.13%,0.13%,
AUD::ANZ Internet Job Ads::m/m,AUD,ANZ Internet Job Ads (MoM)  (Dec),dec,2013-01-01,17:00,-1.80%,-1.80%,,,-1.90%,-1.90%,
AUD::ANZ Newspaper Job Ads::m/m,AUD,ANZ Newspaper Job Ads (MoM)  (Dec),dec,2013-01-01,17:00,-2.20%,-2.20%,,,-3.70%,-3.70%,
USD::All Car Sales::none,USD,All Car Sales  (Dec),dec,2013-01-01,17:00,7.60M,7.60M,,,7.58M,7.58M,
USD::All Truck Sales::none,USD,All Truck Sales  (Dec),dec,2013-01-01,17:00,7.64M,7.64M,,,7.55M,7.55M,
BRL::Auto Production::m/m,BRL,Auto Production (MoM)  (Dec),dec,2013-01-01,17:00,-14.74%,-14.74%,,,-3.01%,-3.01%,
GBP::Average Earnings ex Bonus::none,GBP,Average Earnings ex Bonus  (Dec),dec,2013-01-01,17:00,1.30%,1.30%,,,1.40%,1.40%,
EUR::Belgium CPI::y/y,EUR,Belgium CPI (YoY)  (Dec),dec,2013-01-01,17:00,2.23%,1.00%,2.23%,,2.26%,2.26%,2.25%
ARS::Budget Balance::none,ARS,Budget Balance  (Dec),dec,2013-01-01,17:00,"-11,045.80M","-11,045.80M",,,-723.30M,-723.30M,
BRL::Budget Balance::none,BRL,Budget Balance  (Dec),dec,2013-01-01,17:00,3.15B,-23.28B,3.15B,,-21.85B,-21.85B,-13.33B
CAD::Budget Balance::y/y,CAD,Budget Balance (YoY)  (Dec),dec,2013-01-01,17:00,-14.35B,-14.35B,,,-13.62B,-13.62B,
BRL::Budget Surplus::none,BRL,Budget Surplus  (Dec),dec,2013-01-01,17:00,22.25B,-3.03B,22.25B,,-5.52B,-5.52B,2.79B
USD::Building Permits::m/m,USD,Building Permits (MoM)  (Dec),dec,2013-01-01,17:00,0.30%,0.30%,,,3.60%,3.60%,
BRL::CAGED Net Payroll Jobs::none,BRL,CAGED Net Payroll Jobs  (Dec),dec,2013-01-01,17:00,-497.00K,-497.00K,,,46.00K,46.00K,
BRL::CPI::m/m,BRL,CPI (MoM)  (Dec),dec,2013-01-01,17:00,0.79%,0.79%,,,0.60%,0.60%,
MXN::CPI::m/m,MXN,CPI (MoM)  (Dec),dec,2013-01-01,17:00,0.23%,0.23%,,,0.68%,0.68%,
SEK::CPI::m/m,SEK,CPI (MoM)  (Dec),dec,2013-01-01,17:00,0.30%,0.30%,,,-0.20%,-0.20%,
CHF::CPI::y/y,CHF,CPI (YoY)  (Dec),dec,2013-01-01,17:00,-0.40%,-0.40%,,,-0.40%,-0.40%,
NGN::CPI::y/y,NGN,CPI (YoY)  (Dec),dec,2013-01-01,17:00,11.98%,11.98%,,,12.27%,12.27%,
"USD::CPI Index, n.s.a.::none",USD,"CPI Index, n.s.a.  (Dec)",dec,2013-01-01,17:00,229.60,229.60,,,230.22,230.22,
SEK::CPIF (CPI at constant interest rates)::m/m,SEK,CPIF (CPI at constant interest rates) (MoM)  (Dec),dec,2013-01-01,17:00,0.30%,0.30%,,,-0.20%,-0.20%,
SEK::CPIF (CPI at constant interest rates)::y/y,SEK,CPIF (CPI at constant interest rates) (YoY)  (Dec),dec,2013-01-01,17:00,1.00%,1.00%,,,0.80%,0.80%,
INR::Cash Reserve Ratio::none,INR,Cash Reserve Ratio  (Dec),dec,2013-01-01,17:00,4.25%,4.25%,,,4.27%,4.27%,
