EventId,Date,Time,Period,Actual,Forecast,Previous
NA::Argentina - New Year's Day::none,2012-01-01,All Day,,,,
NA::Bahrain - New Year's Day::none,2012-01-01,All Day,,,,
NA::Denmark - New Year's Day::none,2012-01-01,All Day,,,,
NA::Jordan - New Year's Day::none,2012-01-01,All Day,,,,
NA::Lebanon - New Year's Day::none,2012-01-01,All Day,,,,
NA::Morocco - New Year's Day::none,2012-01-01,All Day,,,,
USD::10-Year Note Auction::none,2012-01-01,17:00,dec,2.00%,,2.00%
MXN::1st Half-Month CPI::none,2012-01-01,17:00,dec,0.61%,,0.97%
MXN::1st Half-Month Core CPI::none,2012-01-01,17:00,dec,0.20%,,0.25%
USD::3-Year Note Auction::none,2012-01-01,17:00,dec,0.25%,,0.38%
USD::30-Year Bond Auction::none,2012-01-01,17:00,dec,3.13%,,3.13%
USD::5-Year TIPS Auction::none,2012-01-01,17:00,dec,0.13%,,0.13%
USD::52-Week Bill Auction::none,2012-01-01,17:00,dec,0.11%,,0.10%
USD::6-Month Bill Auction::none,2012-01-01,17:00,dec,0.06%,,0.07%
USD::7-Year Note Auction::none,2012-01-01,17:00,dec,1.38%,,1.38%
USD::All Car Sales::none,2012-01-01,17:00,dec,6.31M,,6.28M
USD::All Truck Sales::none,2012-01-01,17:00,dec,7.19M,,6.98M
GBP::Average Earnings ex Bonus::none,2012-01-01,17:00,dec,1.90%,,1.90%
INR::Bank Loan Growth::none,2012-01-01,17:00,dec,16.75%,,17.93%
GBP::BoE Consumer Credit::none,2012-01-01,17:00,dec,-0.79B,,0.26B
GBP::BoE QE Total::none,2012-01-01,17:00,dec,275.00B,,275.00B
CAD::Budget Balance::none,2012-01-01,17:00,dec,-0.54B,,-1.63B
CAD::Budget Balance::y/y,2012-01-01,17:00,dec,-17.69B,,-17.34B
USD::Building Permits::m/m,2012-01-01,17:00,dec,-0.10%,,5.70%
USD::CB Employment Trends Index::none,2012-01-01,17:00,dec,109.30,,108.10
GBP::CPI::m/m,2012-01-01,17:00,dec,0.40%,,0.20%
KRW::CPI::m/m,2012-01-01,17:00,dec,0.40%,,0.10%
MXN::CPI::m/m,2012-01-01,17:00,dec,0.82%,,1.08%
SEK::CPI::m/m,2012-01-01,17:00,dec,0.20%,,0.20%
CAD::CPI::y/y,2012-01-01,17:00,dec,2.30%,,2.90%
CHF::CPI::y/y,2012-01-01,17:00,dec,-0.70%,,-0.50%
"USD::CPI Index, n.s.a.::none",2012-01-01,17:00,dec,225.67,,226.23
SEK::CPIF (CPI at constant interest rates)::m/m,2012-01-01,17:00,dec,0.00%,,0.20%
SEK::CPIF (CPI at constant interest rates)::y/y,2012-01-01,17:00,dec,0.50%,,1.10%
INR::Cash Reserve Ratio::none,2012-01-01,17:00,dec,6.00%,,6.00%
USD::Chain Store Sales::m/m,2012-01-01,17:00,dec,3.50%,,2.80%
USD::Chain Store Sales::w/w,2012-01-01,17:00,dec,1.02%,,0.12%
USD::Chain Store Sales::y/y,2012-01-01,17:00,dec,4.28%,,3.26%
USD::Challenger Job Cuts::none,2012-01-01,17:00,dec,41.79K,,42.47K
USD::Cleveland CPI::m/m,2012-01-01,17:00,dec,0.20%,,0.20%
MXN::Consumer Confidence::none,2012-01-01,17:00,dec,90.60,,91.50
SEK::Consumer Confidence::none,2012-01-01,17:00,dec,91.40,,90.20
MXN::Consumer Confidence n.s.a.::none,2012-01-01,17:00,dec,90.80,,89.50
MXN::Core CPI::m/m,2012-01-01,17:00,dec,0.51%,,0.32%
CAD::Core CPI::y/y,2012-01-01,17:00,dec,1.90%,,2.10%
USD::Core CPI Index::none,2012-01-01,17:00,dec,227.33,,226.94
USD::Core PCE Price Index::y/y,2012-01-01,17:00,dec,2.00%,,1.80%
USD::Core PPI::y/y,2012-01-01,17:00,dec,2.60%,,2.70%
GBP::Core PPI Output::m/m,2012-01-01,17:00,dec,0.10%,,-0.10%
GBP::Core PPI Output::y/y,2012-01-01,17:00,dec,2.60%,,2.60%
GBP::Core RPI::m/m,2012-01-01,17:00,dec,0.40%,,0.20%
GBP::Core RPI::y/y,2012-01-01,17:00,dec,5.00%,,5.30%
GBP::Core Retail Sales::m/m,2012-01-01,17:00,dec,0.00%,,-0.60%
GBP::Core Retail Sales::y/y,2012-01-01,17:00,dec,1.00%,,-0.70%
INR::Cumulative Industrial Production::none,2012-01-01,17:00,dec,3.60%,,3.80%
KRW::Current Account::none,2012-01-01,17:00,dec,3.15B,,4.99B
USD::Dallas Fed Mfg Business Index::none,2012-01-01,17:00,dec,-0.60,,4.20
USD::Dallas Fed PCE::none,2012-01-01,17:00,dec,2.00%,,1.90%
USD::Dallas Fed Services Revenues::none,2012-01-01,17:00,dec,8.80,,15.30
INR::Deposit Growth::none,2012-01-01,17:00,dec,17.61%,,17.46%
USD::Domestic Truck Sales::none,2012-01-01,17:00,dec,6.17M,,6.00M
USD::Durables Excluding Defense::m/m,2012-01-01,17:00,dec,3.50%,,4.10%
