EventId,Date,Time,Period,Actual,Forecast,Previous
NA::Argentina - New Year's Day::none,2018-01-01,All Day,,,,
NA::Australia - New Year's Day::none,2018-01-01,All Day,,,,
NA::Austria - New Year's Day::none,2018-01-01,All Day,,,,
NA::Belgium - New Year's Day::none,2018-01-01,All Day,,,,
NA::Bosnia-Herzegovina - New Year::none,2018-01-01,All Day,,,,
NA::Botswana - Public Holiday::none,2018-01-01,All Day,,,,
NA::Brazil - New Year's Day::none,2018-01-01,All Day,,,,
NA::Bulgaria - New Year's Day::none,2018-01-01,All Day,,,,
NA::Canada - New Year's Day::none,2018-01-01,All Day,,,,
NA::Chile - New Year's Day::none,2018-01-01,All Day,,,,
NA::China - New Year's Day::none,2018-01-01,All Day,,,,
NA::Colombia - New Year's Day::none,2018-01-01,All Day,,,,
NA::Costa Rica - New Year's Day::none,2018-01-01,All Day,,,,
NA::Cote D'Ivoire - New Year's Day::none,2018-01-01,All Day,,,,
NA::Croatia - New Year's Day::none,2018-01-01,All Day,,,,
NA::Cyprus - New Year::none,2018-01-01,All Day,,,,
NA::Czech Republic - New Year::none,2018-01-01,All Day,,,,
NA::Denmark - New Year's Day::none,2018-01-01,All Day,,,,
NA::Egypt - New Year::none,2018-01-01,All Day,,,,
NA::Estonia - New Year's Day::none,2018-01-01,All Day,,,,
NA::Finland - New Year's Day::none,2018-01-01,All Day,,,,
NA::France - New Year's Day::none,2018-01-01,All Day,,,,
NA::Germany - New Year::none,2018-01-01,All Day,,,,
NA::Greece - New Year's Day::none,2018-01-01,All Day,,,,
NA::Hong Kong - The first day of January::none,2018-01-01,All Day,,,,
NA::Hungary - New Year::none,2018-01-01,All Day,,,,
NA::Iceland - New Year::none,2018-01-01,All Day,,,,
NA::Indonesia - New Year::none,2018-01-01,All Day,,,,
NA::Iraq - New Year::none,2018-01-01,All Day,,,,
NA::Ireland - New Year's Eve::none,2018-01-01,All Day,,,,
NA::Italy - New Year's Day::none,2018-01-01,All Day,,,,
NA::Jamaica - New Year's Day::none,2018-01-01,All Day,,,,
NA::Japan - New Year's Day::none,2018-01-01,All Day,,,,
NA::Jordan - New Year::none,2018-01-01,All Day,,,,
NA::Kazakhstan - New-Year Holidays::none,2018-01-01,All Day,,,,
NA::Kenya - New Year's Day::none,2018-01-01,All Day,,,,
NA::Kuwait - New Year's Day::none,2018-01-01,All Day,,,,
NA::Latvia - New Year's Day::none,2018-01-01,All Day,,,,
NA::Lebanon - New Year::none,2018-01-01,All Day,,,,
NA::Lithuania - New Year::none,2018-01-01,All Day,,,,
NA::Luxembourg - New Year's Day::none,2018-01-01,All Day,,,,
NA::Malawi - New Year's Day::none,2018-01-01,All Day,,,,
NA::Malaysia - New Year's Day::none,2018-01-01,All Day,,,,
NA::Malta - New Year's Day::none,2018-01-01,All Day,,,,
NA::Mauritius - New Year::none,2018-01-01,All Day,,,,
NA::Mexico - New Year's Day::none,2018-01-01,All Day,,,,
NA::Mongolia - New Year::none,2018-01-01,All Day,,,,
NA::Montenegro - New Year::none,2018-01-01,All Day,,,,
NA::Morocco - New Year::none,2018-01-01,All Day,,,,
NA::Namibia - New Year::none,2018-01-01,All Day,,,,
NA::Netherlands - New Year's Day::none,2018-01-01,All Day,,,,
NA::New Zealand - New Year's Day::none,2018-01-01,All Day,,,,
NA::Nigeria - New Year's Day::none,2018-01-01,All Day,,,,
NA::Norway - New Year::none,2018-01-01,All Day,,,,
NA::Palestinian Territory - New Year::none,2018-01-01,All Day,,,,
NA::Peru - New Year::none,2018-01-01,All Day,,,,
NA::Philippines - New Year's Day::none,2018-01-01,All Day,,,,
NA::Poland - New Year's Day::none,2018-01-01,All Day,,,,
NA::Portugal - New Year::none,2018-01-01,All Day,,,,
NA::Qatar - New Year::none,2018-01-01,All Day,,,,
NA::Romania - New Year::none,2018-01-01,All Day,,,,
NA::Russia - New-Year Holidays::none,2018-01-01,All Day,,,,
NA::Rwanda - New Year's Day::none,2018-01-01,All Day,,,,
NA::Serbia - New Year::none,2018-01-01,All Day,,,,
NA::Singapore - New Year's Day::none,2018-01-01,All Day,,,,
NA::Slovakia - Public Holiday::none,2018-01-01,All Day,,,,
NA::Slovenia - New-Year Holidays::none,2018-01-01,All Day,,,,
NA::South Africa - New Year::none,2018-01-01,All Day,,,,
NA::South Korea - New Year's Day::none,2018-01-01,All Day,,,,
NA::Spain - New Year's Day::none,2018-01-01,All Day,,,,
NA::Sri Lanka - Duruthu Full Moon Poya Day::none,2018-01-01,All Day,,,,
NA::Sweden - New Year's Day::none,2018-01-01,All Day,,,,
NA::Switzerland - New Year's Day::none,2018-01-01,All Day,,,,
NA::Taiwan - New Year::none,2018-01-01,All Day,,,,
NA::Tanzania - New Year's Day::none,2018-01-01,All Day,,,,
NA::Thailand - New Year's Day::none,2018-01-01,All Day,,,,
NA::Tunisia - New Year::none,2018-01-01,All Day,,,,
NA::Türkiye - New Year's Day::none,2018-01-01,All Day,,,,
NA::Uganda - New Year's Day::none,2018-01-01,All Day,,,,
NA::Ukraine - New-Year Holidays::none,2018-01-01,All Day,,,,
NA::United Arab Emirates - New Year's Day::none,2018-01-01,All Day,,,,
NA::United Kingdom - New Year's Day::none,2018-01-01,All Day,,,,
NA::United States - New Year's Day::none,2018-01-01,All Day,,,,
NA::Venezuela - New Year's Day::none,2018-01-01,All Day,,,,
NA::Vietnam - New Year's Day::none,2018-01-01,All Day,,,,
NA::Zambia - New-Year Holidays::none,2018-01-01,All Day,,,,
NA::Zimbabwe - New Year's Day::none,2018-01-01,All Day,,,,
KRW::Exports::y/y,2018-01-01,08:00,dec,8.9%,10.3%,9.5%
KRW::Imports::y/y,2018-01-01,08:00,dec,13.0%,12.1%,12.7%
KRW::Trade Balance::none,2018-01-01,08:00,dec,5.80B,,7.60B
SAR::GDP::y/y,2018-01-01,12:05,q3,-0.40%,,-1.00%
AUD::AUD/USD Index::none,2018-01-01,14:30,,44.5%,,39.5%
EUR::EUR/USD Index::none,2018-01-01,14:30,,54.6%,,48.4%
GBP::GBP/USD Index::none,2018-01-01,14:30,,43.4%,,53.2%
USD::Gold Index::none,2018-01-01,14:30,,69.0%,,67.4%
NZD::NZD/USD Index::none,2018-01-01,14:30,,48.0%,,49.3%
CAD::USD/CAD Index::none,2018-01-01,14:30,,59.8%,,42.1%
CHF::USD/CHF Index::none,2018-01-01,14:30,,63.1%,,51.2%
JPY::USD/JPY Index::none,2018-01-01,14:30,,63.6%,,59.6%
INR::Infrastructure Output::y/y,2018-01-01,19:30,nov,6.8%,,4.7%
NA::Bosnia-Herzegovina - New Year::none,2018-01-02,All Day,,,,
NA::Botswana - Public Holiday::none,2018-01-02,All Day,,,,
NA::Japan - Exchange Holiday::none,2018-01-02,All Day,,,,
NA::Kazakhstan - New-Year Holidays::none,2018-01-02,All Day,,,,
NA::Malta - New Year's Day::none,2018-01-02,All Day,,,,
NA::Mauritius - New Year::none,2018-01-02,All Day,,,,
NA::Montenegro - New Year::none,2018-01-02,All Day,,,,
