Issue,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective,Details
previous_missing_filled,USD::fed interest rate decision::none,USD,Fed Interest Rate Decision,,2026-03-19,02:00,,3.75%,3.75%,
previous_missing_filled,USD::fed interest rate decision::none,USD,Fed Interest Rate Decision,,2026-04-30,02:00,,3.75%,3.75%,
previous_missing_filled,USD::beige book::none,USD,Beige Book,,2026-01-15,03:00,,0.00,0.00,
previous_missing_filled,JPY::monetary policy meeting minutes::none,JPY,Monetary Policy Meeting Minutes,,2026-01-28,07:50,,0.00,0.00,
previous_missing_filled,RUB::interest rate decision::none,RUB,Interest Rate Decision,,2026-03-20,18:30,,16.00%,16.00%,
previous_missing_filled,RUB::interest rate decision::none,RUB,Interest Rate Decision,,2026-04-24,18:30,,16.00%,16.00%,
previous_missing_filled,USD::atlanta fed gdpnow::none,USD,Atlanta Fed GDPNow  (Q4),q4,2026-01-30,01:00,,5.4%,5.4%,
stale_missing_actual_dropped,GBP::brc retail sales monitor::y/y,GBP,BRC Retail Sales Monitor (YoY),,2026-01-06,08:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,MXN::consumer confidence::none,MXN,Consumer Confidence,,2026-01-06,20:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,MXN::consumer confidence n.s.a.::none,MXN,Consumer Confidence n.s.a.,,2026-01-06,20:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,MXN::fiscal balance::none,MXN,Fiscal Balance  (Nov),nov,2026-01-01,03:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::mba 30 - year mortgage rate::none,USD,MBA 30-Year Mortgage Rate,,2026-01-02,22:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::mba purchase index::none,USD,MBA Purchase Index,,2026-01-02,22:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::mortgage market index::none,USD,Mortgage Market Index,,2026-01-02,22:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::mortgage refinance index::none,USD,Mortgage Refinance Index,,2026-01-02,22:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::construction spending::m/m,USD,Construction Spending (MoM)  (Sep),sep,2026-01-02,23:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::construction spending::m/m,USD,Construction Spending (MoM)  (Oct),oct,2026-01-02,23:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::construction spending::m/m,USD,Construction Spending (MoM)  (Oct),oct,2026-01-05,19:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::u.s. baker hughes oil rig count::none,USD,U.S. Baker Hughes Oil Rig Count,,2026-01-01,02:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,SEK::manufacturing pmi::none,SEK,Manufacturing PMI  (Dec),dec,2026-01-01,15:30,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,CHF::manufacturing pmi::none,CHF,Manufacturing PMI  (Dec),dec,2026-01-02,16:30,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::total vehicle sales::none,USD,Total Vehicle Sales  (Dec),dec,2026-01-06,03:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,USD::beige book::none,USD,Beige Book,,2026-01-15,03:00,,,,"{""cutoff"": ""21-01-2026 15:13""}"
stale_missing_actual_dropped,EUR::sentix investor confidence::none,EUR,Sentix Investor Confidence  (Jan),jan,2026-01-05,17:30,,,,"{""cutoff"": ""21-01-2026 15:13""}"
