EventId,Date,Time,Period,Actual,Forecast,Previous
NA::Argentina - New Year's Day::none,2024-01-01,All Day,,,,
NA::Australia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Austria - New Year's Day::none,2024-01-01,All Day,,,,
NA::Bahrain - New Year's Day::none,2024-01-01,All Day,,,,
NA::Bangladesh - Bank Holiday::none,2024-01-01,All Day,,,,
NA::Belgium - New Year's Day::none,2024-01-01,All Day,,,,
NA::Bosnia-Herzegovina - New Year's Day::none,2024-01-01,All Day,,,,
NA::Botswana - New Year's Day::none,2024-01-01,All Day,,,,
NA::Brazil - New Year's Day::none,2024-01-01,All Day,,,,
NA::Bulgaria - New Year's Day::none,2024-01-01,All Day,,,,
NA::Canada - New Year's Day::none,2024-01-01,All Day,,,,
NA::Chile - New Year's Day::none,2024-01-01,All Day,,,,
NA::China - New Year's Day::none,2024-01-01,All Day,,,,
NA::Colombia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Costa Rica - New Year's Day::none,2024-01-01,All Day,,,,
NA::Croatia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Cyprus - New Year's Day::none,2024-01-01,All Day,,,,
NA::Czech Republic - New Year's Day::none,2024-01-01,All Day,,,,
NA::Denmark - New Year's Day::none,2024-01-01,All Day,,,,
NA::Egypt - Bank Holiday::none,2024-01-01,All Day,,,,
NA::Estonia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Finland - New Year's Day::none,2024-01-01,All Day,,,,
NA::France - New Year's Day::none,2024-01-01,All Day,,,,
NA::Germany - New Year's Day::none,2024-01-01,All Day,,,,
NA::Greece - New Year's Day::none,2024-01-01,All Day,,,,
NA::Hong Kong - New Year's Day::none,2024-01-01,All Day,,,,
NA::Hungary - New Year's Day::none,2024-01-01,All Day,,,,
NA::Iceland - New Year's Day::none,2024-01-01,All Day,,,,
NA::Indonesia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Ireland - New Year's Day::none,2024-01-01,All Day,,,,
NA::Italy - New Year's Day::none,2024-01-01,All Day,,,,
NA::Jamaica - New Year's Day::none,2024-01-01,All Day,,,,
NA::Japan - New Year's Day::none,2024-01-01,All Day,,,,
NA::Jordan - New Year's Day::none,2024-01-01,All Day,,,,
NA::Kazakhstan - New Year's Day::none,2024-01-01,All Day,,,,
NA::Kenya - New Year's Day::none,2024-01-01,All Day,,,,
NA::Kuwait - New Year's Day::none,2024-01-01,All Day,,,,
NA::Latvia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Lebanon - New Year's Day::none,2024-01-01,All Day,,,,
NA::Lithuania - New Year's Day::none,2024-01-01,All Day,,,,
NA::Luxembourg - New Year's Day::none,2024-01-01,All Day,,,,
NA::Malaysia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Malta - New Year's Day::none,2024-01-01,All Day,,,,
NA::Mauritius - New Year's Day::none,2024-01-01,All Day,,,,
NA::Mexico - New Year's Day::none,2024-01-01,All Day,,,,
NA::Mongolia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Montenegro - New Year's Day::none,2024-01-01,All Day,,,,
NA::Morocco - New Year's Day::none,2024-01-01,All Day,,,,
NA::Namibia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Netherlands - New Year's Day::none,2024-01-01,All Day,,,,
NA::New Zealand - New Year's Day::none,2024-01-01,All Day,,,,
NA::Nigeria - New Year's Day::none,2024-01-01,All Day,,,,
NA::Norway - New Year's Day::none,2024-01-01,All Day,,,,
NA::Palestinian Territory - New Year's Day::none,2024-01-01,All Day,,,,
NA::Peru - New Year's Day::none,2024-01-01,All Day,,,,
NA::Philippines - New Year's Day::none,2024-01-01,All Day,,,,
NA::Poland - New Year's Day::none,2024-01-01,All Day,,,,
NA::Portugal - New Year's Day::none,2024-01-01,All Day,,,,
NA::Qatar - New Year's Day::none,2024-01-01,All Day,,,,
NA::Romania - New Year's Day::none,2024-01-01,All Day,,,,
NA::Russia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Rwanda - New Year's Day::none,2024-01-01,All Day,,,,
NA::Serbia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Singapore - New Year's Day::none,2024-01-01,All Day,,,,
NA::Slovakia - Republic Day::none,2024-01-01,All Day,,,,
NA::Slovenia - New Year's Day::none,2024-01-01,All Day,,,,
NA::South Africa - New Year's Day::none,2024-01-01,All Day,,,,
NA::South Korea - New Year's Day::none,2024-01-01,All Day,,,,
NA::Spain - New Year's Day::none,2024-01-01,All Day,,,,
NA::Sri Lanka - New Year's Day::none,2024-01-01,All Day,,,,
NA::Sweden - New Year's Day::none,2024-01-01,All Day,,,,
NA::Switzerland - New Year's Day::none,2024-01-01,All Day,,,,
NA::Taiwan - Republic Day::none,2024-01-01,All Day,,,,
NA::Tanzania - New Year's Day::none,2024-01-01,All Day,,,,
NA::Thailand - New Year's Day::none,2024-01-01,All Day,,,,
NA::Tunisia - New Year's Day::none,2024-01-01,All Day,,,,
NA::Türkiye - New Year's Day::none,2024-01-01,All Day,,,,
NA::Ukraine - New Year's Day::none,2024-01-01,All Day,,,,
NA::United Arab Emirates - New Year's Day::none,2024-01-01,All Day,,,,
NA::United Kingdom - New Year's Day::none,2024-01-01,All Day,,,,
NA::United States - New Year's Day::none,2024-01-01,All Day,,,,
NA::Venezuela - New Year's Day::none,2024-01-01,All Day,,,,
NA::Vietnam - New Year's Day::none,2024-01-01,All Day,,,,
NA::Zimbabwe - New Year's Day::none,2024-01-01,All Day,,,,
KRW::Exports::y/y,2024-01-01,08:00,dec,5.1%,6.6%,7.7%
KRW::Imports::y/y,2024-01-01,08:00,dec,-10.8%,-11.4%,-11.6%
KRW::Trade Balance::none,2024-01-01,08:00,dec,4.48B,6.26B,3.78B
PEN::CPI::m/m,2024-01-01,14:30,dec,0.41%,0.31%,-0.16%
ILS::Interest Rate Decision::none,2024-01-01,22:00,jan,4.50%,4.63%,4.75%
NA::Bosnia-Herzegovina - New Year's Day::none,2024-01-02,All Day,,,,
NA::Botswana - Market Holiday::none,2024-01-02,All Day,,,,
NA::Japan - Market Holiday::none,2024-01-02,All Day,,,,
NA::Kazakhstan - New Year's Day::none,2024-01-02,All Day,,,,
NA::Malta - Market Holiday::none,2024-01-02,All Day,,,,
NA::Mauritius - New Year's Day::none,2024-01-02,All Day,,,,
NA::Montenegro - New Year's Day::none,2024-01-02,All Day,,,,
NA::New Zealand - New Year's Day::none,2024-01-02,All Day,,,,
NA::Romania - New Year's Day::none,2024-01-02,All Day,,,,
NA::Russia - New Year's Day::none,2024-01-02,All Day,,,,
NA::Rwanda - New Year's Day::none,2024-01-02,All Day,,,,
NA::Serbia - New Year's Day::none,2024-01-02,All Day,,,,
NA::Slovenia - New Year's Day::none,2024-01-02,All Day,,,,
NA::Switzerland - New Year's Day::none,2024-01-02,All Day,,,,
SGD::GDP::q/q,2024-01-02,08:00,q4,1.7%,,1.3%
SGD::GDP::y/y,2024-01-02,08:00,q4,2.8%,,1.0%
GBP::BRC Shop Price Index::y/y,2024-01-02,08:00,,4.3%,,4.3%
KRW::S&P Global South Korea Manufacturing PMI::none,2024-01-02,08:30,dec,49.9,,50.0
SGD::URA Property Index::q/q,2024-01-02,08:30,q4,2.70%,,0.80%
IDR::Core Inflation::y/y,2024-01-02,12:00,dec,1.80%,1.85%,1.87%
IDR::Inflation::m/m,2024-01-02,12:00,dec,0.41%,0.50%,0.38%
IDR::Inflation::y/y,2024-01-02,12:00,dec,2.61%,2.72%,2.86%
EUR::Dutch Business Confidence::none,2024-01-02,13:30,dec,-3.4,,-0.5
AUD::Commodity Prices::y/y,2024-01-02,13:30,,-10.7%,,-12.8%
EUR::Estonian Retail Sales::m/m,2024-01-02,14:00,,-0.70%,,2.00%
EUR::Estonian Retail Sales::y/y,2024-01-02,14:00,,-8.80%,,-4.80%
SEK::Manufacturing PMI::none,2024-01-02,15:30,dec,48.8,,49.0
EUR::Austrian Unemployment Change::none,2024-01-02,16:00,dec,329.3K,,275.7K
EUR::Austrian Unemployment Rate::none,2024-01-02,16:00,dec,7.8%,,6.5%
HUF::Manufacturing PMI::none,2024-01-02,16:00,dec,52.8,,52.0
EUR::Loans to Non Financial Corporations::none,2024-01-02,17:00,nov,0.0%,,-0.3%
EUR::M3 Money Supply::y/y,2024-01-02,17:00,nov,-0.9%,-1.0%,-1.0%
NOK::Manufacturing PMI::none,2024-01-02,17:00,dec,51.7,,50.1
EUR::Private Sector Loans::y/y,2024-01-02,17:00,,0.5%,0.8%,0.6%
EUR::Car Registration::y/y,2024-01-02,19:00,nov,10.60%,,18.10%
EUR::Portuguese Business Confidence::none,2024-01-02,19:00,dec,1.2,,1.0
EUR::Portuguese Consumer Confidence::none,2024-01-02,19:00,dec,-28.20,,-28.20
BRL::BCB Focus Market Readout::none,2024-01-02,19:25,,,,
CLP::Economic Activity::y/y,2024-01-02,19:30,nov,1.2%,1.0%,0.3%
EUR::French 12-Month BTF Auction::none,2024-01-02,21:55,,3.215%,,3.333%
EUR::French 3-Month BTF Auction::none,2024-01-02,21:55,,3.757%,,3.729%
EUR::French 6-Month BTF Auction::none,2024-01-02,21:55,,3.663%,,3.690%
NZD::GlobalDairyTrade Price Index::none,2024-01-02,22:50,,1.2%,,2.3%
USD::Construction Spending::m/m,2024-01-02,23:00,nov,0.4%,0.5%,1.2%
USD::Milk Auctions::none,2024-01-02,23:00,,"3,363.0",,"3,388.0"
TRY::Exports::none,2024-01-02,23:10,,23.00B,,23.00B
TRY::Trade Ministry Trade Balance::none,2024-01-02,23:10,,-6.11B,,-5.92B
NA::Japan - Market Holiday::none,2024-01-03,All Day,,,,
NA::Montenegro - New Year's Day::none,2024-01-03,All Day,,,,
USD::3-Month Bill Auction::none,2024-01-03,00:30,,5.245%,,5.260%
USD::6-Month Bill Auction::none,2024-01-03,00:30,,5.045%,,5.080%
USD::Atlanta Fed GDPNow::none,2024-01-03,02:00,q4,2.0%,2.3%,2.3%
AUD::RBA Chart Pack Release::none,2024-01-03,08:30,,,,
ARS::Tax Revenue::none,2024-01-03,09:00,dec,"5,922.69B",,"4,679.00B"
TRY::CPI::m/m,2024-01-03,15:00,dec,2.93%,3.13%,3.28%
TRY::CPI::y/y,2024-01-03,15:00,dec,64.77%,65.10%,61.98%
TRY::PPI::m/m,2024-01-03,15:00,dec,1.14%,,2.81%
TRY::PPI::y/y,2024-01-03,15:00,dec,44.22%,,42.25%
