EventId,Date,Time,Period,Actual,Forecast,Previous
NA::Argentina - New Year's Day::none,2025-01-01,All Day,,,,
NA::Australia - New Year's Day::none,2025-01-01,All Day,,,,
NA::Austria - New Year's Day::none,2025-01-01,All Day,,,,
NA::Bahrain - New Year's Day::none,2025-01-01,All Day,,,,
NA::Bangladesh - Bank Holiday::none,2025-01-01,All Day,,,,
NA::Belgium - New Year's Day::none,2025-01-01,All Day,,,,
NA::Bermuda - New Year's Day::none,2025-01-01,All Day,,,,
NA::Bosnia-Herzegovina - New Year's Day::none,2025-01-01,All Day,,,,
NA::Botswana - New Year's Day::none,2025-01-01,All Day,,,,
NA::Brazil - New Year's Day::none,2025-01-01,All Day,,,,
NA::Bulgaria - New Year's Day::none,2025-01-01,All Day,,,,
NA::Canada - New Year's Day::none,2025-01-01,All Day,,,,
NA::Cayman Islands - New Year's Day::none,2025-01-01,All Day,,,,
NA::Chile - New Year's Day::none,2025-01-01,All Day,,,,
NA::China - New Year's Day::none,2025-01-01,All Day,,,,
NA::Colombia - New Year's Day::none,2025-01-01,All Day,,,,
NA::Costa Rica - New Year's Day::none,2025-01-01,All Day,,,,
NA::Croatia - New Year's Day::none,2025-01-01,All Day,,,,
NA::Cyprus - New Year's Day::none,2025-01-01,All Day,,,,
NA::Czech Republic - New Year's Day::none,2025-01-01,All Day,,,,
NA::Denmark - New Year's Day::none,2025-01-01,All Day,,,,
NA::Ecuador - New Year's Day::none,2025-01-01,All Day,,,,
NA::Egypt - New Year's Day::none,2025-01-01,All Day,,,,
NA::Estonia - New Year's Day::none,2025-01-01,All Day,,,,
NA::Finland - New Year's Day::none,2025-01-01,All Day,,,,
NA::France - New Year's Day::none,2025-01-01,All Day,,,,
NA::Germany - New Year's Day::none,2025-01-01,All Day,,,,
NA::Greece - New Year's Day::none,2025-01-01,All Day,,,,
NA::Hong Kong - New Year's Day::none,2025-01-01,All Day,,,,
NA::Hungary - New Year's Day::none,2025-01-01,All Day,,,,
NA::Iceland - New Year's Day::none,2025-01-01,All Day,,,,
NA::Indonesia - New Year's Day::none,2025-01-01,All Day,,,,
NA::Ireland - New Year's Day::none,2025-01-01,All Day,,,,
NA::Italy - New Year's Day::none,2025-01-01,All Day,,,,
NA::Jamaica - New Year's Day::none,2025-01-01,All Day,,,,
NA::Japan - New Year's Day::none,2025-01-01,All Day,,,,
NA::Jordan - New Year's Day::none,2025-01-01,All Day,,,,
NA::Kazakhstan - New Year's Day::none,2025-01-01,All Day,,,,
NA::Kenya - New Year's Day::none,2025-01-01,All Day,,,,
NA::Kuwait - New Year's Day::none,2025-01-01,All Day,,,,
NA::Latvia - New Year's Day::none,2025-01-01,All Day,,,,
NA::Lebanon - New Year's Day::none,2025-01-01,All Day,,,,
NA::Lithuania - New Year's Day::none,2025-01-01,All Day,,,,
NA::Luxembourg - New Year's Day::none,2025-01-01,All Day,,,,
NA::Malta - New Year's Day::none,2025-01-01,All Day,,,,
NA::Mauritius - New Year's Day::none,2025-01-01,All Day,,,,
NA::Mexico - New Year's Day::none,2025-01-01,All Day,,,,
NA::Mongolia - New Year's Day::none,2025-01-01,All Day,,,,
NA::Montenegro - New Year's Day::none,2025-01-01,All Day,,,,
NA::Morocco - New Year's Day::none,2025-01-01,All Day,,,,
NA::Namibia - New Year's Day::none,2025-01-01,All Day,,,,
NA::Netherlands - New Year's Day::none,2025-01-01,All Day,,,,
NA::New Zealand - New Year's Day::none,2025-01-01,All Day,,,,
NA::Nigeria - New Year's Day::none,2025-01-01,All Day,,,,
NA::Norway - New Year's Day::none,2025-01-01,All Day,,,,
NA::Palestinian Territory - New Year's Day::none,2025-01-01,All Day,,,,
NA::Peru - New Year's Day::none,2025-01-01,All Day,,,,
NA::Philippines - New Year's Day::none,2025-01-01,All Day,,,,
NA::Poland - New Year's Day::none,2025-01-01,All Day,,,,
NA::Portugal - New Year's Day::none,2025-01-01,All Day,,,,
NA::Qatar - New Year's Day::none,2025-01-01,All Day,,,,
NA::Romania - New Year's Day::none,2025-01-01,All Day,,,,
