EventId,Cur,Event,Period,Date,Time,ActualRaw,ActualEffective,ActualRevisedFrom,Forecast,PreviousRaw,Previous,PreviousRevisedFrom
NA::Argentina - New Year's Day::none,,Argentina - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Australia - New Year's Day::none,,Australia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Austria - New Year::none,,Austria - New Year,,2019-01-01,All Day,,,,,,,
NA::Bahrain - New Year's Day::none,,Bahrain - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Belgium - New Year's Day::none,,Belgium - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Bosnia-Herzegovina - New Year::none,,Bosnia-Herzegovina - New Year,,2019-01-01,All Day,,,,,,,
NA::Botswana - New Year's Day::none,,Botswana - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Brazil - New Year's Day::none,,Brazil - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Bulgaria - New Year's Day::none,,Bulgaria - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Canada - New Year's Day::none,,Canada - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Chile - New Year's Day::none,,Chile - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::China - New Year::none,,China - New Year,,2019-01-01,All Day,,,,,,,
NA::Colombia - New Year's Day::none,,Colombia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Costa Rica - New Year's Day::none,,Costa Rica - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Cote D'Ivoire - New Year's Day::none,,Cote D'Ivoire - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Croatia - New Year's Day::none,,Croatia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Cyprus - New Year::none,,Cyprus - New Year,,2019-01-01,All Day,,,,,,,
NA::Czech Republic - New Year::none,,Czech Republic - New Year,,2019-01-01,All Day,,,,,,,
NA::Denmark - New Year's Day::none,,Denmark - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Egypt - New Year::none,,Egypt - New Year,,2019-01-01,All Day,,,,,,,
NA::Estonia - New Year's Day::none,,Estonia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Finland - New Year's Day::none,,Finland - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::France - New Year's Day::none,,France - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Germany - New Year's Day::none,,Germany - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Greece - New Year's Day::none,,Greece - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Hong Kong - The first day of January::none,,Hong Kong - The first day of January,,2019-01-01,All Day,,,,,,,
NA::Hungary - New Year::none,,Hungary - New Year,,2019-01-01,All Day,,,,,,,
NA::Iceland - New Year's Day::none,,Iceland - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Indonesia - New Year's Day::none,,Indonesia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Iraq - New Year::none,,Iraq - New Year,,2019-01-01,All Day,,,,,,,
NA::Ireland - New Year's Day::none,,Ireland - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Italy - New Year's Day::none,,Italy - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Jamaica - New Year's Day::none,,Jamaica - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Japan - New Year's Day::none,,Japan - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Jordan - New Year::none,,Jordan - New Year,,2019-01-01,All Day,,,,,,,
NA::Kazakhstan - New Year::none,,Kazakhstan - New Year,,2019-01-01,All Day,,,,,,,
NA::Kenya - New Year's Day::none,,Kenya - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Kuwait - New Year's Day::none,,Kuwait - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Latvia - New Year's Day::none,,Latvia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Lebanon - New Year::none,,Lebanon - New Year,,2019-01-01,All Day,,,,,,,
NA::Lithuania - New Year's Day::none,,Lithuania - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Luxembourg - New Year's Day::none,,Luxembourg - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Malawi - New Year's Day::none,,Malawi - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Malaysia - New Year's Day::none,,Malaysia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Malta - New Year's Day::none,,Malta - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Mauritius - New Year::none,,Mauritius - New Year,,2019-01-01,All Day,,,,,,,
NA::Mexico - New Year's Day::none,,Mexico - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Mongolia - New Year::none,,Mongolia - New Year,,2019-01-01,All Day,,,,,,,
NA::Montenegro - New Year's Day::none,,Montenegro - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Morocco - New Year::none,,Morocco - New Year,,2019-01-01,All Day,,,,,,,
NA::Namibia - New Year's Day::none,,Namibia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Netherlands - New Year's Day::none,,Netherlands - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::New Zealand - New Year's Day::none,,New Zealand - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Nigeria - New Year's Day::none,,Nigeria - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Norway - New Year's Day::none,,Norway - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Palestinian Territory - New Year::none,,Palestinian Territory - New Year,,2019-01-01,All Day,,,,,,,
NA::Peru - New Year's Day::none,,Peru - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Philippines - New Year's Day::none,,Philippines - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Poland - New Year's Day::none,,Poland - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Portugal - New Year's Day::none,,Portugal - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Qatar - New Year::none,,Qatar - New Year,,2019-01-01,All Day,,,,,,,
NA::Romania - New Year's Day::none,,Romania - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Russia - New Year's Day::none,,Russia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Rwanda - New Year's Day::none,,Rwanda - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Serbia - New Year::none,,Serbia - New Year,,2019-01-01,All Day,,,,,,,
NA::Singapore - New Year's Day::none,,Singapore - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Slovakia - Public Holiday::none,,Slovakia - Public Holiday,,2019-01-01,All Day,,,,,,,
NA::Slovenia - New-Year Holidays::none,,Slovenia - New-Year Holidays,,2019-01-01,All Day,,,,,,,
NA::South Africa - New Year's Day::none,,South Africa - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::South Korea - New Year's Day::none,,South Korea - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Spain - New Year's Day::none,,Spain - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Sri Lanka - CSE Customary Holiday::none,,Sri Lanka - CSE Customary Holiday,,2019-01-01,All Day,,,,,,,
NA::Sweden - New Year's Day::none,,Sweden - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Switzerland - New Year's Day::none,,Switzerland - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Taiwan - New Year::none,,Taiwan - New Year,,2019-01-01,All Day,,,,,,,
NA::Tanzania - New Year's Day::none,,Tanzania - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Thailand - New Year's Day::none,,Thailand - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Tunisia - New Year's Day::none,,Tunisia - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Türkiye - New Year's Day::none,,Türkiye - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Uganda - New Year's Day::none,,Uganda - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Ukraine - New Year's Day::none,,Ukraine - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::United Arab Emirates - New Year's Day::none,,United Arab Emirates - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::United Kingdom - New Year's Day::none,,United Kingdom - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::United States - New Year's Day::none,,United States - New Year's Day,,2019-01-01,All Day,,,,,,,
NA::Venezuela - New Year::none,,Venezuela - New Year,,2019-01-01,All Day,,,,,,,
NA::Vietnam - New Year::none,,Vietnam - New Year,,2019-01-01,All Day,,,,,,,
NA::Zambia - New Year::none,,Zambia - New Year,,2019-01-01,All Day,,,,,,,
NA::Zimbabwe - New Year's Day::none,,Zimbabwe - New Year's Day,,2019-01-01,All Day,,,,,,,
USD::52-Week Bill Auction::none,USD,52-Week Bill Auction,,2019-01-01,00:30,2.545%,2.545%,,,2.635%,2.635%,
KRW::Exports::y/y,KRW,Exports (YoY)  (Dec),dec,2019-01-01,08:00,-1.2%,-5.8%,-1.2%,3.3%,-1.2%,-1.2%,4.1%
KRW::Imports::y/y,KRW,Imports (YoY)  (Dec),dec,2019-01-01,08:00,0.9%,-1.7%,0.9%,4.2%,0.9%,0.9%,11.5%
KRW::Trade Balance::none,KRW,Trade Balance  (Dec),dec,2019-01-01,08:00,4.56B,1.34B,4.56B,,4.56B,4.56B,4.93B
PEN::CPI::m/m,PEN,CPI (MoM)  (Dec),dec,2019-01-01,14:00,0.18%,0.18%,,,0.12%,0.12%,
NA::Bosnia-Herzegovina - New Year::none,,Bosnia-Herzegovina - New Year,,2019-01-02,All Day,,,,,,,
NA::Botswana - Public Holiday::none,,Botswana - Public Holiday,,2019-01-02,All Day,,,,,,,
EUR::French 12-Month BTF Auction::none,EUR,French 12-Month BTF Auction,,2019-01-02,Tentative,-0.566%,-0.566%,,,-0.577%,-0.577%,
EUR::French 3-Month BTF Auction::none,EUR,French 3-Month BTF Auction,,2019-01-02,Tentative,-0.570%,-0.570%,,,-0.701%,-0.701%,
EUR::French 6-Month BTF Auction::none,EUR,French 6-Month BTF Auction,,2019-01-02,Tentative,-0.569%,-0.569%,,,-0.651%,-0.651%,
NZD::GlobalDairyTrade Price Index::none,NZD,GlobalDairyTrade Price Index,,2019-01-02,Tentative,2.8%,2.8%,,,1.7%,1.7%,
NA::Japan - Exchange Holiday::none,,Japan - Exchange Holiday,,2019-01-02,All Day,,,,,,,
NA::Kazakhstan - New Year::none,,Kazakhstan - New Year,,2019-01-02,All Day,,,,,,,
NA::Malta - New Year's Day::none,,Malta - New Year's Day,,2019-01-02,All Day,,,,,,,
NA::Mauritius - New Year::none,,Mauritius - New Year,,2019-01-02,All Day,,,,,,,
NA::Montenegro - Day After New Year's::none,,Montenegro -  Day After New Year's,,2019-01-02,All Day,,,,,,,
NA::New Zealand - Day After New Year's::none,,New Zealand -  Day After New Year's,,2019-01-02,All Day,,,,,,,
NA::Romania - New Year's Day::none,,Romania - New Year's Day,,2019-01-02,All Day,,,,,,,
NA::Russia - New Year's Day::none,,Russia - New Year's Day,,2019-01-02,All Day,,,,,,,
NA::Rwanda - Day After New Year's::none,,Rwanda -  Day After New Year's,,2019-01-02,All Day,,,,,,,
NA::Serbia - New Year::none,,Serbia - New Year,,2019-01-02,All Day,,,,,,,
NA::Slovenia - New-Year Holidays::none,,Slovenia - New-Year Holidays,,2019-01-02,All Day,,,,,,,
NA::Switzerland - Berchtold's Day::none,,Switzerland - Berchtold's Day,,2019-01-02,All Day,,,,,,,
NA::Ukraine - New Year's Day::none,,Ukraine - New Year's Day,,2019-01-02,All Day,,,,,,,
