EventId,Cur,Event,Period,Date,Time,ActualRaw,ActualEffective,ActualRevisedFrom,Forecast,PreviousRaw,Previous,PreviousRevisedFrom
NA::Austria - New Year's Day::none,,Austria - New Year's Day,,2011-01-01,All Day,,,,,,,
NA::Lebanon - New Year's Day::none,,Lebanon - New Year's Day,,2011-01-01,All Day,,,,,,,
AUD::CFTC AUD speculative net positions::none,AUD,CFTC AUD speculative net positions,,2011-01-01,04:30,64.3K,64.3K,,,60.6K,60.6K,
CAD::CFTC CAD speculative net positions::none,CAD,CFTC CAD speculative net positions,,2011-01-01,04:30,34.8K,34.8K,,,24.9K,24.9K,
CHF::CFTC CHF speculative net positions::none,CHF,CFTC CHF speculative net positions,,2011-01-01,04:30,14.0K,14.0K,,,12.5K,12.5K,
USD::CFTC Crude Oil speculative net positions::none,USD,CFTC Crude Oil speculative net positions,,2011-01-01,04:30,162.6k,162.6k,,,160.4k,160.4k,
EUR::CFTC EUR speculative net positions::none,EUR,CFTC EUR speculative net positions,,2011-01-01,04:30,-26.5K,-26.5K,,,-14.1K,-14.1K,
GBP::CFTC GBP speculative net positions::none,GBP,CFTC GBP speculative net positions,,2011-01-01,04:30,-13.1K,-13.1K,,,-7.4K,-7.4K,
USD::CFTC Gold speculative net positions::none,USD,CFTC Gold speculative net positions,,2011-01-01,04:30,215.8K,215.8K,,,206.4K,206.4K,
JPY::CFTC JPY speculative net positions::none,JPY,CFTC JPY speculative net positions,,2011-01-01,04:30,29.6K,29.6K,,,12.5K,12.5K,
MXN::CFTC MXN speculative net positions::none,MXN,CFTC MXN speculative net positions,,2011-01-01,04:30,82.2K,82.2K,,,78.0K,78.0K,
NZD::CFTC NZD speculative net positions::none,NZD,CFTC NZD speculative net positions,,2011-01-01,04:30,8.1K,8.1K,,,7.4K,7.4K,
RUB::CFTC RUB speculative positions::none,RUB,CFTC RUB speculative positions,,2011-01-01,04:30,6.0K,6.0K,,,7.5K,7.5K,
USD::CFTC Silver speculative net positions::none,USD,CFTC Silver speculative net positions,,2011-01-01,04:30,32.1K,32.1K,,,30.3K,30.3K,
KRW::Trade Balance::none,KRW,Trade Balance,,2011-01-01,09:05,3.74B,4.10B,3.74B,3.00B,3.61B,3.61B,0.00B
USD::10-Year Note Auction::none,USD,10-Year Note Auction  (Dec),dec,2011-01-01,17:00,3.38%,3.38%,,,2.63%,2.63%,
MXN::1st Half-Month CPI::none,MXN,1st Half-Month CPI  (Dec),dec,2011-01-01,17:00,0.19%,0.19%,,,0.68%,0.68%,
MXN::1st Half-Month Core CPI::none,MXN,1st Half-Month Core CPI  (Dec),dec,2011-01-01,17:00,0.30%,0.30%,,,0.16%,0.16%,
USD::3-Month Bill Auction::none,USD,3-Month Bill Auction  (Dec),dec,2011-01-01,17:00,0.18%,0.18%,,,0.18%,0.18%,
USD::3-Year Note Auction::none,USD,3-Year Note Auction  (Dec),dec,2011-01-01,17:00,0.73%,0.73%,,,0.50%,0.50%,
USD::30-Year Bond Auction::none,USD,30-Year Bond Auction  (Dec),dec,2011-01-01,17:00,4.25%,4.25%,,,4.25%,4.25%,
USD::5-Year Note Auction::none,USD,5-Year Note Auction  (Dec),dec,2011-01-01,17:00,2.13%,2.13%,,,1.38%,1.38%,
USD::7-Year Note Auction::none,USD,7-Year Note Auction  (Dec),dec,2011-01-01,17:00,2.75%,2.75%,,,2.25%,2.25%,
USD::All Car Sales::none,USD,All Car Sales  (Dec),dec,2011-01-01,17:00,5.93M,5.93M,,,5.66M,5.66M,
USD::All Truck Sales::none,USD,All Truck Sales  (Dec),dec,2011-01-01,17:00,6.46M,6.46M,,,6.41M,6.41M,
GBP::Average Earnings ex Bonus::none,GBP,Average Earnings ex Bonus  (Dec),dec,2011-01-01,17:00,2.20%,2.20%,,,2.30%,2.30%,
INR::Bank Loan Growth::none,INR,Bank Loan Growth  (Dec),dec,2011-01-01,17:00,23.93%,23.93%,,,22.55%,22.55%,
GBP::BoE Consumer Credit::none,GBP,BoE Consumer Credit  (Dec),dec,2011-01-01,17:00,0.42B,0.42B,,,-0.13B,-0.13B,
GBP::BoE QE Total::none,GBP,BoE QE Total  (Dec),dec,2011-01-01,17:00,200.00B,200.00B,,,200.00B,200.00B,
CAD::Budget Balance::none,CAD,Budget Balance  (Dec),dec,2011-01-01,17:00,-1.35B,-1.35B,,,-4.47B,-4.47B,
CAD::Budget Balance::y/y,CAD,Budget Balance (YoY)  (Dec),dec,2011-01-01,17:00,-27.37B,-27.37B,,,-26.02B,-26.02B,
USD::Building Permits::m/m,USD,Building Permits (MoM)  (Dec),dec,2011-01-01,17:00,16.70%,16.70%,,,-4.00%,-4.00%,
USD::CB Employment Trends Index::none,USD,CB Employment Trends Index  (Dec),dec,2011-01-01,17:00,103.70,103.70,,,102.00,102.00,
GBP::CPI::m/m,GBP,CPI (MoM)  (Dec),dec,2011-01-01,17:00,1.00%,1.00%,,,0.40%,0.40%,
KRW::CPI::m/m,KRW,CPI (MoM)  (Dec),dec,2011-01-01,17:00,0.40%,0.40%,,,-0.50%,-0.50%,
MXN::CPI::m/m,MXN,CPI (MoM)  (Dec),dec,2011-01-01,17:00,0.50%,0.50%,,,0.80%,0.80%,
SEK::CPI::m/m,SEK,CPI (MoM)  (Dec),dec,2011-01-01,17:00,0.70%,0.70%,,,0.30%,0.30%,
CAD::CPI::y/y,CAD,CPI (YoY)  (Dec),dec,2011-01-01,17:00,2.40%,2.40%,,,2.00%,2.00%,
CHF::CPI::y/y,CHF,CPI (YoY)  (Dec),dec,2011-01-01,17:00,0.50%,0.50%,,,0.20%,0.20%,
"USD::CPI Index, n.s.a.::none",USD,"CPI Index, n.s.a.  (Dec)",dec,2011-01-01,17:00,219.18,219.18,,,218.80,218.80,
SEK::CPIF (CPI at constant interest rates)::m/m,SEK,CPIF (CPI at constant interest rates) (MoM)  (Dec),dec,2011-01-01,17:00,0.60%,0.60%,,,0.20%,0.20%,
SEK::CPIF (CPI at constant interest rates)::y/y,SEK,CPIF (CPI at constant interest rates) (YoY)  (Dec),dec,2011-01-01,17:00,2.30%,2.30%,,,1.90%,1.90%,
INR::Cash Reserve Ratio::none,INR,Cash Reserve Ratio  (Dec),dec,2011-01-01,17:00,6.00%,6.00%,,,6.00%,6.00%,
USD::Chain Store Sales::m/m,USD,Chain Store Sales (MoM)  (Dec),dec,2011-01-01,17:00,3.10%,3.10%,,,5.40%,5.40%,
USD::Chain Store Sales::w/w,USD,Chain Store Sales (WoW)  (Dec),dec,2011-01-01,17:00,0.57%,0.57%,,,0.06%,0.06%,
USD::Chain Store Sales::y/y,USD,Chain Store Sales (YoY)  (Dec),dec,2011-01-01,17:00,3.75%,3.75%,,,3.21%,3.21%,
