EventId,Cur,Event,Period,Date,Time,ActualRaw,ActualEffective,ActualRevisedFrom,Forecast,PreviousRaw,Previous,PreviousRevisedFrom
NA::Japan - New Year's Day::none,,Japan - New Year's Day,,2017-01-01,All Day,,,,,,,
NA::Philippines - New Year's Day::none,,Philippines - New Year's Day,,2017-01-01,All Day,,,,,,,
NA::Ukraine - New Year's Day::none,,Ukraine - New Year's Day,,2017-01-01,All Day,,,,,,,
KRW::Exports::y/y,KRW,Exports (YoY)  (Dec),dec,2017-01-01,08:00,6.4%,6.4%,,6.4%,2.5%,2.5%,
KRW::Imports::y/y,KRW,Imports (YoY)  (Dec),dec,2017-01-01,08:00,7.3%,7.3%,,6.8%,9.3%,9.3%,
KRW::Trade Balance::none,KRW,Trade Balance  (Dec),dec,2017-01-01,08:00,7.00B,7.00B,,,8.20B,8.20B,
CNY::Manufacturing PMI::none,CNY,Manufacturing PMI  (Dec),dec,2017-01-01,09:00,51.4,51.4,,51.5,51.7,51.7,
CNY::Non-Manufacturing PMI::none,CNY,Non-Manufacturing PMI  (Dec),dec,2017-01-01,09:00,54.5,54.5,,,54.7,54.7,
PEN::CPI::m/m,PEN,CPI (MoM)  (Dec),dec,2017-01-01,14:00,0.33%,0.33%,,0.30%,0.29%,0.29%,
NA::Australia - New Year's Day::none,,Australia - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Canada - New Year's Day::none,,Canada - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::China - New Year's Day::none,,China - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Hong Kong - New Year's Day::none,,Hong Kong - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Indonesia - New Year's Day::none,,Indonesia - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Ireland - New Year's Day::none,,Ireland - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Japan - New Year's Day::none,,Japan - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::New Zealand - New Year's Day::none,,New Zealand - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Philippines - Special Non Working Holiday::none,,Philippines - Special Non Working Holiday,,2017-01-02,All Day,,,,,,,
NA::Romania - New Year's Day::none,,Romania - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Russia - New Year's Day::none,,Russia - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Singapore - New Year's Day::none,,Singapore - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::South Africa - New Year's Day::none,,South Africa - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Switzerland - New Year's Day::none,,Switzerland - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Taiwan - New Year's Day::none,,Taiwan - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Thailand - New Year's Day::none,,Thailand - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::Ukraine - New Year's Day::none,,Ukraine - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::United Kingdom - New Year's Day::none,,United Kingdom - New Year's Day,,2017-01-02,All Day,,,,,,,
NA::United States - New Year's Day::none,,United States - New Year's Day,,2017-01-02,All Day,,,,,,,
KRW::S&P Global South Korea Manufacturing PMI::none,KRW,S&P Global South Korea Manufacturing PMI  (Dec),dec,2017-01-02,08:30,49.4,49.4,,,48.0,48.0,
AUD::AUD/USD Index::none,AUD,AUD/USD Index,,2017-01-02,14:30,56.6%,56.6%,,,49.5%,49.5%,
EUR::EUR/USD Index::none,EUR,EUR/USD Index,,2017-01-02,14:30,41.6%,41.6%,,,35.8%,35.8%,
GBP::GBP/USD Index::none,GBP,GBP/USD Index,,2017-01-02,14:30,50.0%,50.0%,,,45.7%,45.7%,
USD::Gold Index::none,USD,Gold Index,,2017-01-02,14:30,58.8%,58.8%,,,57.9%,57.9%,
NZD::NZD/USD Index::none,NZD,NZD/USD Index,,2017-01-02,14:30,48.9%,48.9%,,,47.6%,47.6%,
CAD::USD/CAD Index::none,CAD,USD/CAD Index,,2017-01-02,14:30,41.1%,41.1%,,,36.4%,36.4%,
CHF::USD/CHF Index::none,CHF,USD/CHF Index,,2017-01-02,14:30,51.8%,51.8%,,,33.9%,33.9%,
JPY::USD/JPY Index::none,JPY,USD/JPY Index,,2017-01-02,14:30,63.7%,63.7%,,,57.2%,57.2%,
SEK::Manufacturing PMI::none,SEK,Manufacturing PMI  (Dec),dec,2017-01-02,15:30,60.1,60.1,,58.0,57.3,57.3,
EUR::Austrian Unemployment Change::none,EUR,Austrian Unemployment Change  (Dec),dec,2017-01-02,16:00,410.4K,410.4K,,,355.7K,355.7K,
EUR::Austrian Unemployment Rate::none,EUR,Austrian Unemployment Rate  (Dec),dec,2017-01-02,16:00,10.3%,10.3%,,,9.0%,9.0%,
HUF::Manufacturing PMI::none,HUF,Manufacturing PMI  (Dec),dec,2017-01-02,16:00,52.2,52.8,52.2,,56.3,56.3,56.6
NOK::Manufacturing PMI::none,NOK,Manufacturing PMI  (Dec),dec,2017-01-02,16:00,51.4,51.6,51.4,49.5,47.8,47.8,47.6
EUR::Dutch 3-Month T-bill Auction::none,EUR,Dutch 3-Month T-bill Auction,,2017-01-02,18:45,-0.820%,-0.820%,,,-0.749%,-0.749%,
EUR::Dutch 6-Month T-bill Auction::none,EUR,Dutch 6-Month T-bill Auction,,2017-01-02,18:45,-0.790%,-0.790%,,,-0.728%,-0.728%,
EUR::French 12-Month BTF Auction::none,EUR,French 12-Month BTF Auction,,2017-01-02,22:00,-0.697%,-0.697%,,,-0.665%,-0.665%,
EUR::French 3-Month BTF Auction::none,EUR,French 3-Month BTF Auction,,2017-01-02,22:00,-0.697%,-0.697%,,,-0.741%,-0.741%,
EUR::French 6-Month BTF Auction::none,EUR,French 6-Month BTF Auction,,2017-01-02,22:00,-0.688%,-0.688%,,,-0.715%,-0.715%,
NA::Japan - New Year's Day::none,,Japan - New Year's Day,,2017-01-03,All Day,,,,,,,
NA::New Zealand - New Year's Day::none,,New Zealand - New Year's Day,,2017-01-03,All Day,,,,,,,
NA::Thailand - Special Holiday::none,,Thailand - Special Holiday,,2017-01-03,All Day,,,,,,,
NA::Ukraine - Exchange Holiday::none,,Ukraine - Exchange Holiday,,2017-01-03,All Day,,,,,,,
BRL::Trade Balance::none,BRL,Trade Balance  (Dec),dec,2017-01-03,01:00,4.41B,4.42B,4.41B,3.70B,4.76B,4.76B,
ARS::Tax Revenue::none,ARS,Tax Revenue  (Dec),dec,2017-01-03,05:00,275.54B,275.54B,,196.00B,182.27B,182.27B,
AUD::AIG Manufacturing Index::none,AUD,AIG Manufacturing Index,,2017-01-03,06:30,55.4,55.4,,,54.2,54.2,
SGD::GDP::q/q,SGD,GDP (QoQ)  (Q4),q4,2017-01-03,08:00,9.1%,9.1%,,3.7%,-1.9%,-1.9%,-2.0%
SGD::GDP::y/y,SGD,GDP (YoY)  (Q4),q4,2017-01-03,08:00,1.8%,1.8%,,0.6%,1.2%,1.2%,1.1%
SGD::URA Property Index::q/q,SGD,URA Property Index (QoQ)  (Q4),q4,2017-01-03,08:30,-0.40%,-0.40%,,,-1.50%,-1.50%,
IDR::Foreign Tourism::none,IDR,Foreign Tourism  (Nov),nov,2017-01-03,12:00,18.32%,18.32%,,,15.62%,15.62%,
IDR::Core Inflation::y/y,IDR,Core Inflation (YoY)  (Dec),dec,2017-01-03,12:00,3.07%,3.07%,,3.11%,3.07%,3.07%,
IDR::Inflation::m/m,IDR,Inflation (MoM)  (Dec),dec,2017-01-03,12:00,0.42%,0.42%,,0.54%,0.47%,0.47%,
IDR::Inflation::y/y,IDR,Inflation (YoY)  (Dec),dec,2017-01-03,12:00,3.02%,3.02%,,3.10%,3.58%,3.58%,
AUD::Commodity Prices::y/y,AUD,Commodity Prices (YoY),,2017-01-03,13:30,45.5%,44.8%,45.5%,,28.7%,28.7%,32.1%
TRY::Exports::none,TRY,Exports  (Dec),dec,2017-01-03,14:30,12.82B,12.82B,,,11.95B,11.95B,
TRY::CPI::m/m,TRY,CPI (MoM)  (Dec),dec,2017-01-03,15:00,1.64%,1.64%,,0.93%,0.52%,0.52%,
TRY::CPI::y/y,TRY,CPI (YoY)  (Dec),dec,2017-01-03,15:00,8.53%,8.53%,,7.60%,7.00%,7.00%,
TRY::PPI::m/m,TRY,PPI (MoM),,2017-01-03,15:00,2.98%,2.00%,2.98%,,2.00%,2.00%,
TRY::PPI::y/y,TRY,PPI (YoY),,2017-01-03,15:00,9.94%,6.41%,9.94%,,6.41%,6.41%,
EUR::French CPI::m/m,EUR,French CPI (MoM)  (Dec),dec,2017-01-03,15:45,0.3%,0.3%,,0.2%,0.0%,0.0%,
EUR::French HICP::m/m,EUR,French HICP (MoM)  (Dec),dec,2017-01-03,15:45,0.3%,0.3%,,0.2%,0.0%,0.0%,
EUR::French HICP::y/y,EUR,French HICP (YoY)  (Dec),dec,2017-01-03,15:45,0.8%,0.8%,,0.7%,0.7%,0.7%,
HKD::Retail Sales::y/y,HKD,Retail Sales (YoY)  (Nov),nov,2017-01-03,16:30,-5.5%,-5.5%,,,-2.9%,-2.9%,
CHF::Manufacturing PMI::none,CHF,Manufacturing PMI  (Dec),dec,2017-01-03,16:30,56.0,55.7,56.0,56.1,55.5,55.5,56.6
EUR::German Unemployment::none,EUR,German Unemployment  (Dec),dec,2017-01-03,16:55,2.600M,2.600M,,,2.700M,2.700M,
EUR::German Unemployment Change::none,EUR,German Unemployment Change  (Dec),dec,2017-01-03,16:55,-17K,-20K,-17K,-5K,-6K,-6K,-5K
EUR::German Unemployment Rate::none,EUR,German Unemployment Rate  (Dec),dec,2017-01-03,16:55,6.0%,6.0%,,6.0%,6.0%,6.0%,
EUR::German Unemployment n.s.a.::none,EUR,German Unemployment n.s.a.  (Dec),dec,2017-01-03,16:55,2.600M,2.568M,2.600M,,2.532M,2.532M,2.500M
EUR::Belgium 3-Month T-bill Auction::none,EUR,Belgium 3-Month T-bill Auction,,2017-01-03,18:40,-0.782%,-0.782%,,,-0.750%,-0.750%,
EUR::Belgium 6-Month T-bill Auction::none,EUR,Belgium 6-Month T-bill Auction,,2017-01-03,18:40,-0.689%,-0.689%,,,-0.596%,-0.596%,
EUR::Latvian Industrial Production::m/m,EUR,Latvian Industrial Production (MoM)  (Nov),nov,2017-01-03,19:00,2.8%,2.8%,,,2.4%,2.4%,
EUR::Latvian Industrial Production::y/y,EUR,Latvian Industrial Production (YoY)  (Nov),nov,2017-01-03,19:00,11.0%,11.0%,,,6.7%,6.7%,
EUR::Portuguese Business Confidence::none,EUR,Portuguese Business Confidence  (Dec),dec,2017-01-03,19:00,1.2,1.1,1.2,,1.2,1.2,
EUR::Portuguese Consumer Confidence::none,EUR,Portuguese Consumer Confidence  (Dec),dec,2017-01-03,19:00,-8.20,-8.20,,,-10.50,-10.50,
CZK::Budget Balance::none,CZK,Budget Balance  (Dec),dec,2017-01-03,21:00,61.770B,61.770B,,,55.450B,55.450B,
EUR::German CPI::m/m,EUR,German CPI (MoM)  (Dec),dec,2017-01-03,21:00,0.7%,0.7%,,0.6%,0.1%,0.1%,
EUR::German CPI::y/y,EUR,German CPI (YoY)  (Dec),dec,2017-01-03,21:00,1.7%,1.7%,,1.5%,0.8%,0.8%,
EUR::German HICP::m/m,EUR,German HICP (MoM)  (Dec),dec,2017-01-03,21:00,1.0%,1.0%,,0.6%,0.0%,0.0%,
EUR::German HICP::y/y,EUR,German HICP (YoY)  (Dec),dec,2017-01-03,21:00,1.7%,1.7%,,1.3%,0.7%,0.7%,
