EventId,Cur,Event,Period,Date,Time,ActualRaw,ActualEffective,ActualRevisedFrom,Forecast,PreviousRaw,Previous,PreviousRevisedFrom
NA::Bahrain - New Year's Day::none,,Bahrain - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Botswana - New Year's Day::none,,Botswana - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Brazil - New Year's Day::none,,Brazil - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Bulgaria - New Year's Day::none,,Bulgaria - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Chile - New Year's Day::none,,Chile - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Egypt - Bank Holiday::none,,Egypt - Bank Holiday,,2022-01-01,All Day,,,,,,,
NA::Japan - New Year's Day::none,,Japan - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Kenya - New Year's Day::none,,Kenya - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Kuwait - New Year's Day::none,,Kuwait - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Mexico - New Year's Day::none,,Mexico - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Morocco - New Year's Day::none,,Morocco - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Namibia - New Year's Day::none,,Namibia - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Nigeria - New Year's Day::none,,Nigeria - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Palestinian Territory - New Year's Day::none,,Palestinian Territory - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Qatar - New Year's Day::none,,Qatar - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::United Arab Emirates - New Year's Day::none,,United Arab Emirates - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Vietnam - New Year's Day::none,,Vietnam - New Year's Day,,2022-01-01,All Day,,,,,,,
NA::Zimbabwe - New Year's Day::none,,Zimbabwe - New Year's Day,,2022-01-01,All Day,,,,,,,
USD::U.S. Baker Hughes Oil Rig Count::none,USD,U.S. Baker Hughes Oil Rig Count,,2022-01-01,02:00,480,480,,,480,480,
USD::U.S. Baker Hughes Total Rig Count::none,USD,U.S. Baker Hughes Total Rig Count,,2022-01-01,02:00,586,586,,,586,586,
KRW::Exports::y/y,KRW,Exports (YoY)  (Dec),dec,2022-01-01,08:00,18.3%,18.3%,,22.0%,32.0%,32.0%,
KRW::Imports::y/y,KRW,Imports (YoY)  (Dec),dec,2022-01-01,08:00,37.4%,37.1%,37.4%,35.8%,43.6%,43.6%,
KRW::Trade Balance::none,KRW,Trade Balance  (Dec),dec,2022-01-01,08:00,-0.59B,-0.45B,-0.59B,,3.06B,3.06B,
NA::Bahrain - New Year's Day::none,,Bahrain - New Year's Day,,2022-01-02,All Day,,,,,,,
NA::Botswana - Market Holiday::none,,Botswana - Market Holiday,,2022-01-02,All Day,,,,,,,
NA::Japan - Market Holiday::none,,Japan - Market Holiday,,2022-01-02,All Day,,,,,,,
NA::Australia - New Year's Day::none,,Australia - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Bulgaria - New Year's Day::none,,Bulgaria - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Canada - New Year's Day::none,,Canada - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::China - New Year's Day::none,,China - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Ireland - New Year's Day::none,,Ireland - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Japan - Market Holiday::none,,Japan - Market Holiday,,2022-01-03,All Day,,,,,,,
NA::Kazakhstan - New Year's Day::none,,Kazakhstan - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Montenegro - New Year's Day::none,,Montenegro - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::New Zealand - New Year's Day::none,,New Zealand - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Rwanda - New Year's Day::none,,Rwanda - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Serbia - New Year's Day::none,,Serbia - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Thailand - New Year's Day::none,,Thailand - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Ukraine - New Year's Day::none,,Ukraine - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::United Kingdom - New Year's Day::none,,United Kingdom - New Year's Day,,2022-01-03,All Day,,,,,,,
NA::Vietnam - New Year's Day::none,,Vietnam - New Year's Day,,2022-01-03,All Day,,,,,,,
SGD::GDP::q/q,SGD,GDP (QoQ)  (Q4),q4,2022-01-03,08:00,10.7%,10.7%,,2.0%,5.2%,5.2%,
SGD::GDP::y/y,SGD,GDP (YoY)  (Q4),q4,2022-01-03,08:00,5.9%,5.9%,,5.4%,7.1%,7.1%,
KRW::S&P Global South Korea Manufacturing PMI::none,KRW,S&P Global South Korea Manufacturing PMI  (Dec),dec,2022-01-03,08:30,51.9,51.9,,,50.9,50.9,
SGD::URA Property Index::q/q,SGD,URA Property Index (QoQ),,2022-01-03,08:30,5.00%,5.00%,,,1.10%,1.10%,
IDR::Core Inflation::y/y,IDR,Core Inflation (YoY)  (Dec),dec,2022-01-03,12:00,1.56%,1.56%,,1.52%,1.44%,1.44%,
IDR::Inflation::m/m,IDR,Inflation (MoM)  (Dec),dec,2022-01-03,12:00,0.57%,0.57%,,0.52%,0.37%,0.37%,
IDR::Inflation::y/y,IDR,Inflation (YoY)  (Dec),dec,2022-01-03,12:00,1.87%,1.87%,,1.80%,1.75%,1.75%,
