EventId,Date,Time,Period,Actual,Forecast,Previous
NA::Austria - New Year's Day::none,2011-01-01,All Day,,,,
NA::Lebanon - New Year's Day::none,2011-01-01,All Day,,,,
AUD::CFTC AUD speculative net positions::none,2011-01-01,04:30,,64.3K,,60.6K
CAD::CFTC CAD speculative net positions::none,2011-01-01,04:30,,34.8K,,24.9K
CHF::CFTC CHF speculative net positions::none,2011-01-01,04:30,,14.0K,,12.5K
USD::CFTC Crude Oil speculative net positions::none,2011-01-01,04:30,,162.6k,,160.4k
EUR::CFTC EUR speculative net positions::none,2011-01-01,04:30,,-26.5K,,-14.1K
GBP::CFTC GBP speculative net positions::none,2011-01-01,04:30,,-13.1K,,-7.4K
USD::CFTC Gold speculative net positions::none,2011-01-01,04:30,,215.8K,,206.4K
JPY::CFTC JPY speculative net positions::none,2011-01-01,04:30,,29.6K,,12.5K
MXN::CFTC MXN speculative net positions::none,2011-01-01,04:30,,82.2K,,78.0K
NZD::CFTC NZD speculative net positions::none,2011-01-01,04:30,,8.1K,,7.4K
RUB::CFTC RUB speculative positions::none,2011-01-01,04:30,,6.0K,,7.5K
USD::CFTC Silver speculative net positions::none,2011-01-01,04:30,,32.1K,,30.3K
KRW::Trade Balance::none,2011-01-01,09:05,,3.74B,3.00B,3.61B
USD::10-Year Note Auction::none,2011-01-01,17:00,dec,3.38%,,2.63%
MXN::1st Half-Month CPI::none,2011-01-01,17:00,dec,0.19%,,0.68%
MXN::1st Half-Month Core CPI::none,2011-01-01,17:00,dec,0.30%,,0.16%
USD::3-Month Bill Auction::none,2011-01-01,17:00,dec,0.18%,,0.18%
USD::3-Year Note Auction::none,2011-01-01,17:00,dec,0.73%,,0.50%
USD::30-Year Bond Auction::none,2011-01-01,17:00,dec,4.25%,,4.25%
USD::5-Year Note Auction::none,2011-01-01,17:00,dec,2.13%,,1.38%
USD::7-Year Note Auction::none,2011-01-01,17:00,dec,2.75%,,2.25%
USD::All Car Sales::none,2011-01-01,17:00,dec,5.93M,,5.66M
USD::All Truck Sales::none,2011-01-01,17:00,dec,6.46M,,6.41M
GBP::Average Earnings ex Bonus::none,2011-01-01,17:00,dec,2.20%,,2.30%
INR::Bank Loan Growth::none,2011-01-01,17:00,dec,23.93%,,22.55%
GBP::BoE Consumer Credit::none,2011-01-01,17:00,dec,0.42B,,-0.13B
GBP::BoE QE Total::none,2011-01-01,17:00,dec,200.00B,,200.00B
CAD::Budget Balance::none,2011-01-01,17:00,dec,-1.35B,,-4.47B
CAD::Budget Balance::y/y,2011-01-01,17:00,dec,-27.37B,,-26.02B
USD::Building Permits::m/m,2011-01-01,17:00,dec,16.70%,,-4.00%
USD::CB Employment Trends Index::none,2011-01-01,17:00,dec,103.70,,102.00
GBP::CPI::m/m,2011-01-01,17:00,dec,1.00%,,0.40%
KRW::CPI::m/m,2011-01-01,17:00,dec,0.40%,,-0.50%
MXN::CPI::m/m,2011-01-01,17:00,dec,0.50%,,0.80%
SEK::CPI::m/m,2011-01-01,17:00,dec,0.70%,,0.30%
CAD::CPI::y/y,2011-01-01,17:00,dec,2.40%,,2.00%
CHF::CPI::y/y,2011-01-01,17:00,dec,0.50%,,0.20%
"USD::CPI Index, n.s.a.::none",2011-01-01,17:00,dec,219.18,,218.80
SEK::CPIF (CPI at constant interest rates)::m/m,2011-01-01,17:00,dec,0.60%,,0.20%
SEK::CPIF (CPI at constant interest rates)::y/y,2011-01-01,17:00,dec,2.30%,,1.90%
INR::Cash Reserve Ratio::none,2011-01-01,17:00,dec,6.00%,,6.00%
USD::Chain Store Sales::m/m,2011-01-01,17:00,dec,3.10%,,5.40%
USD::Chain Store Sales::w/w,2011-01-01,17:00,dec,0.57%,,0.06%
USD::Chain Store Sales::y/y,2011-01-01,17:00,dec,3.75%,,3.21%
USD::Challenger Job Cuts::none,2011-01-01,17:00,dec,32.00K,,48.71K
USD::Cleveland CPI::m/m,2011-01-01,17:00,dec,0.10%,,0.10%
MXN::Consumer Confidence::none,2011-01-01,17:00,dec,90.80,,90.50
SEK::Consumer Confidence::none,2011-01-01,17:00,dec,112.60,,111.90
MXN::Consumer Confidence n.s.a.::none,2011-01-01,17:00,dec,91.20,,88.50
MXN::Core CPI::m/m,2011-01-01,17:00,dec,0.43%,,0.24%
CAD::Core CPI::y/y,2011-01-01,17:00,dec,1.50%,,1.40%
USD::Core CPI Index::none,2011-01-01,17:00,dec,222.34,,222.15
USD::Core PCE Price Index::y/y,2011-01-01,17:00,dec,0.90%,,1.00%
GBP::Core PPI Output::m/m,2011-01-01,17:00,dec,0.10%,,0.20%
GBP::Core PPI Output::y/y,2011-01-01,17:00,dec,2.00%,,2.10%
GBP::Core RPI::m/m,2011-01-01,17:00,dec,0.70%,,0.40%
GBP::Core RPI::y/y,2011-01-01,17:00,dec,4.70%,,4.70%
GBP::Core Retail Sales::m/m,2011-01-01,17:00,dec,-1.70%,,0.10%
GBP::Core Retail Sales::y/y,2011-01-01,17:00,dec,-1.90%,,-0.40%
INR::Cumulative Industrial Production::none,2011-01-01,17:00,dec,8.60%,,9.50%
KRW::Current Account::none,2011-01-01,17:00,dec,-0.02B,,1.85B
USD::Dallas Fed Mfg Business Index::none,2011-01-01,17:00,dec,16.80,,19.70
USD::Dallas Fed PCE::none,2011-01-01,17:00,dec,1.00%,,1.40%
USD::Dallas Fed Services Revenues::none,2011-01-01,17:00,dec,14.20,,17.60
INR::Deposit Growth::none,2011-01-01,17:00,dec,15.67%,,15.13%
USD::Domestic Truck Sales::none,2011-01-01,17:00,dec,5.46M,,5.40M
USD::Durables Excluding Defense::m/m,2011-01-01,17:00,dec,-2.50%,,-0.50%
USD::EIA Weekly Distillates Stocks::none,2011-01-01,17:00,dec,0.69M,,-1.35M
MXN::Economic Activity::m/m,2011-01-01,17:00,dec,0.44%,,0.23%
USD::Existing Home Sales::m/m,2011-01-01,17:00,dec,6.20%,,5.00%
USD::Export Price Index::m/m,2011-01-01,17:00,dec,0.70%,,1.50%
KRW::Export Price Index::y/y,2011-01-01,17:00,dec,1.70%,,-0.40%
CAD::Exports::none,2011-01-01,17:00,dec,36.55B,,34.74B
INR::Exports (USD)::none,2011-01-01,17:00,dec,23.35B,,22.58B
KRW::Exports::y/y,2011-01-01,17:00,dec,22.60%,,21.40%
KRW::FX Reserves - USD::none,2011-01-01,17:00,dec,291.57B,,290.23B
"INR::FX Reserves, USD::none",2011-01-01,17:00,dec,297.33B,,296.39B
USD::Factory orders ex transportation::m/m,2011-01-01,17:00,dec,2.00%,,4.10%
INR::Federal Fiscal Deficit::none,2011-01-01,17:00,dec,"1,712.49B",,"1,865.22B"
MXN::Fiscal Balance::none,2011-01-01,17:00,dec,-145.47B,,-22.04B
CAD::Foreign Securities Purchases by Canadians::none,2011-01-01,17:00,dec,-1.94B,,2.88B
CAD::Full Employment Change::none,2011-01-01,17:00,dec,53.60K,,10.50K
USD::Goods Orders Non Defense Ex Air::m/m,2011-01-01,17:00,dec,1.40%,,2.60%
USD::Government Payrolls::none,2011-01-01,17:00,dec,-21.00K,,-10.00K
MXN::Gross Fixed Investments::m/m,2011-01-01,17:00,dec,0.84%,,-0.13%
MXN::Gross Fixed Investments::y/y,2011-01-01,17:00,dec,3.27%,,3.28%
GBP::Halifax House Price Index::y/y,2011-01-01,17:00,dec,-1.60%,,-0.70%
USD::House Price Index::none,2011-01-01,17:00,dec,184.60,,185.80
USD::House Price Index::y/y,2011-01-01,17:00,dec,-3.80%,,-4.30%
SEK::Household Lending Growth::y/y,2011-01-01,17:00,dec,7.90%,,8.33%
USD::Housing Starts::m/m,2011-01-01,17:00,dec,-1.10%,,0.40%
CAD::IPPI::y/y,2011-01-01,17:00,dec,4.50%,,3.60%
USD::ISM Manufacturing Employment::none,2011-01-01,17:00,dec,58.20,,60.50
USD::ISM Manufacturing New Orders Index::none,2011-01-01,17:00,dec,59.80,,57.90
USD::ISM Non-Manufacturing Business Activity::none,2011-01-01,17:00,dec,62.20,,59.10
USD::ISM Non-Manufacturing Employment::none,2011-01-01,17:00,dec,52.20,,56.60
USD::ISM Non-Manufacturing New Orders::none,2011-01-01,17:00,dec,62.00,,58.40
USD::ISM Non-Manufacturing Prices::none,2011-01-01,17:00,dec,69.20,,65.40
USD::ISM-New York Index::none,2011-01-01,17:00,dec,492.70,,483.40
KRW::Import Price Index::y/y,2011-01-01,17:00,dec,11.70%,,7.50%
CAD::Imports::none,2011-01-01,17:00,dec,35.44B,,35.26B
INR::Imports (USD)::none,2011-01-01,17:00,dec,31.51B,,28.84B
KRW::Imports::y/y,2011-01-01,17:00,dec,21.70%,,30.90%
SEK::Industrial New Orders::y/y,2011-01-01,17:00,dec,11.49%,,12.79%
KRW::Industrial Production::m/m,2011-01-01,17:00,dec,2.10%,,1.10%
MXN::Industrial Production::m/m,2011-01-01,17:00,dec,0.76%,,0.07%
SEK::Industrial Production::m/m,2011-01-01,17:00,dec,-1.20%,,1.50%
GBP::Industrial Production::y/y,2011-01-01,17:00,dec,4.00%,,3.70%
SEK::Industrial Production::y/y,2011-01-01,17:00,dec,11.00%,,12.60%
INR::Infrastructure Output::y/y,2011-01-01,17:00,dec,6.86%,,3.62%
INR::Interest Rate Decision::none,2011-01-01,17:00,dec,6.25%,,6.25%
EUR::Italian Business Confidence::none,2011-01-01,17:00,dec,105.30,,102.60
EUR::Italian CPI::y/y,2011-01-01,17:00,dec,1.90%,,1.70%
EUR::Italian Consumer Confidence::none,2011-01-01,17:00,dec,101.90,,101.10
EUR::Italian HICP::m/m,2011-01-01,17:00,dec,0.40%,,-0.10%
EUR::Italian HICP::y/y,2011-01-01,17:00,dec,2.10%,,1.80%
EUR::Italian Industrial New Orders::m/m,2011-01-01,17:00,dec,7.22%,,-3.20%
EUR::Italian Industrial New Orders::y/y,2011-01-01,17:00,dec,21.14%,,8.82%
EUR::Italian Industrial Production::y/y,2011-01-01,17:00,dec,8.10%,,4.90%
EUR::Italian Industrial Sales::m/m,2011-01-01,17:00,dec,-2.52%,,1.08%
EUR::Italian Industrial Sales::y/y,2011-01-01,17:00,dec,9.26%,,11.69%
EUR::Italian PPI::m/m,2011-01-01,17:00,dec,0.50%,,0.40%
EUR::Italian PPI::y/y,2011-01-01,17:00,dec,3.90%,,3.40%
EUR::Italian Retail Sales::y/y,2011-01-01,17:00,dec,-5.17%,,0.92%
EUR::Italian Trade Balance EU::none,2011-01-01,17:00,dec,-1.50B,,-1.29B
EUR::Italian Trade Balance Non-EU::none,2011-01-01,17:00,dec,-1.52B,,-2.10B
EUR::Italian Wage Inflation::m/m,2011-01-01,17:00,dec,0.00%,,0.20%
EUR::Italian Wage Inflation::y/y,2011-01-01,17:00,dec,1.70%,,1.70%
CAD::Ivey PMI n.s.a::none,2011-01-01,17:00,dec,50.00,,57.50
USD::JOLTS Job Openings::none,2011-01-01,17:00,dec,2.91M,,3.07M
USD::Jobless Claims 4-Week Avg.::none,2011-01-01,17:00,dec,422.14K,,433.22K
USD::KC Fed Composite Index::none,2011-01-01,17:00,dec,17.00,,13.00
USD::KC Fed Manufacturing Index::none,2011-01-01,17:00,dec,26.00,,21.00
CHF::KOF Leading Indicators::none,2011-01-01,17:00,dec,102.40,,102.40
KRW::M2 Money supply::none,2011-01-01,17:00,dec,7.20%,,8.30%
INR::M3 Money Supply::none,2011-01-01,17:00,dec,16.05%,,16.18%
USD::MBA 30-Year Mortgage Rate::none,2011-01-01,17:00,dec,4.83%,,4.47%
USD::MBA Purchase Index::none,2011-01-01,17:00,dec,200.73,,196.47
KRW::Manufacturing BSI Index::none,2011-01-01,17:00,dec,97.00,,96.00
SEK::Manufacturing Confidence::none,2011-01-01,17:00,dec,8.00,,12.00
INR::Manufacturing Output::m/m,2011-01-01,17:00,dec,8.70%,,6.50%
SEK::Manufacturing PMI::none,2011-01-01,17:00,dec,60.40,,61.50
USD::Manufacturing Payrolls::none,2011-01-01,17:00,dec,10.00K,,23.00K
USD::Manufacturing Production::m/m,2011-01-01,17:00,dec,0.40%,,0.20%
GBP::Manufacturing Production::y/y,2011-01-01,17:00,dec,4.50%,,5.10%
USD::Michigan 5-Year Inflation Expectations::none,2011-01-01,17:00,dec,2.80%,,2.80%
USD::Michigan Consumer Expectations::none,2011-01-01,17:00,dec,66.80,,64.80
USD::Michigan Current Conditions::none,2011-01-01,17:00,dec,85.30,,79.70
USD::Midwest Manufacturing::none,2011-01-01,17:00,dec,81.20,,80.80
GBP::Mortgage Lending::none,2011-01-01,17:00,dec,-0.16B,,0.57B
USD::Mortgage Market Index::none,2011-01-01,17:00,dec,514.15,,710.43
USD::Mortgage Refinance Index::none,2011-01-01,17:00,dec,"2,395.33",,"3,718.07"
