EventId,Cur,Event,Period,Date,Time,ActualRaw,ActualEffective,ActualRevisedFrom,Forecast,PreviousRaw,Previous,PreviousRevisedFrom
USD::Fed's Balance Sheet::none,USD,Fed's Balance Sheet,,2009-01-01,04:30,"2,239.46B","2,239.46B",,,"2,232.31B","2,232.31B",
AUD::AIG Manufacturing Index::none,AUD,AIG Manufacturing Index,,2009-01-01,08:00,33.7,33.7,,,32.7,32.7,40.4
MXN::1st Half-Month CPI::none,MXN,1st Half-Month CPI  (Dec),dec,2009-01-01,17:00,0.45%,0.45%,,,0.94%,0.94%,
MXN::1st Half-Month Core CPI::none,MXN,1st Half-Month Core CPI  (Dec),dec,2009-01-01,17:00,0.44%,0.44%,,,0.32%,0.32%,
USD::3-Year Note Auction::none,USD,3-Year Note Auction  (Dec),dec,2009-01-01,17:00,1.13%,1.13%,,,1.75%,1.75%,
USD::5-Year Note Auction::none,USD,5-Year Note Auction  (Dec),dec,2009-01-01,17:00,1.50%,1.50%,,,2.00%,2.00%,
USD::All Car Sales::none,USD,All Car Sales  (Dec),dec,2009-01-01,17:00,5.15M,5.15M,,,5.12M,5.12M,
USD::All Truck Sales::none,USD,All Truck Sales  (Dec),dec,2009-01-01,17:00,4.99M,4.99M,,,5.13M,5.13M,
GBP::Average Earnings ex Bonus::none,GBP,Average Earnings ex Bonus  (Dec),dec,2009-01-01,17:00,3.30%,3.30%,,,3.40%,3.40%,
INR::Bank Loan Growth::none,INR,Bank Loan Growth  (Dec),dec,2009-01-01,17:00,24.55%,24.55%,,,26.91%,26.91%,
GBP::BoE Consumer Credit::none,GBP,BoE Consumer Credit  (Dec),dec,2009-01-01,17:00,-0.22B,-0.22B,,,0.35B,0.35B,
CAD::Budget Balance::none,CAD,Budget Balance  (Dec),dec,2009-01-01,17:00,0.33B,0.33B,,,0.10B,0.10B,
CAD::Budget Balance::y/y,CAD,Budget Balance (YoY)  (Dec),dec,2009-01-01,17:00,0.37B,0.37B,,,0.04B,0.04B,
USD::Building Permits::m/m,USD,Building Permits (MoM)  (Dec),dec,2009-01-01,17:00,-10.70%,-10.70%,,,-15.60%,-15.60%,
USD::CB Employment Trends Index::none,USD,CB Employment Trends Index  (Dec),dec,2009-01-01,17:00,100.30,100.30,,,103.50,103.50,
GBP::CPI::m/m,GBP,CPI (MoM)  (Dec),dec,2009-01-01,17:00,-0.40%,-0.40%,,,-0.10%,-0.10%,
KRW::CPI::m/m,KRW,CPI (MoM)  (Dec),dec,2009-01-01,17:00,0.00%,0.00%,,,-0.30%,-0.30%,
MXN::CPI::m/m,MXN,CPI (MoM)  (Dec),dec,2009-01-01,17:00,0.69%,0.69%,,,1.14%,1.14%,
SEK::CPI::m/m,SEK,CPI (MoM)  (Dec),dec,2009-01-01,17:00,-1.30%,-1.30%,,,-0.80%,-0.80%,
CAD::CPI::y/y,CAD,CPI (YoY)  (Dec),dec,2009-01-01,17:00,1.20%,1.20%,,,2.00%,2.00%,
CHF::CPI::y/y,CHF,CPI (YoY)  (Dec),dec,2009-01-01,17:00,0.70%,0.70%,,,1.50%,1.50%,
