Patch,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective
previous_missing_filled,USD::Redbook::m/m,USD,Redbook (MoM),,2020-10-13,20:55,,0.0%,0.0%
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2020-01-16,03:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2020-03-05,03:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2020-04-16,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2020-05-28,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2020-07-16,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2020-09-03,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2020-10-22,02:00,,0.00,0.00
previous_missing_filled,USD::Beige Book::none,USD,Beige Book,,2020-12-03,03:00,,0.00,0.00
previous_missing_filled,AUD::RBA Bulletin::none,AUD,RBA Bulletin,,2020-03-19,08:30,,0.00,0.00
previous_missing_filled,AUD::RBA Bulletin::none,AUD,RBA Bulletin,,2020-06-18,09:30,,0.00,0.00
previous_missing_filled,AUD::RBA Bulletin::none,AUD,RBA Bulletin,,2020-09-17,09:30,,0.00,0.00
previous_missing_filled,AUD::RBA Bulletin::none,AUD,RBA Bulletin,,2020-12-10,08:30,,0.00,0.00
previous_missing_filled,DKK::CPI::y/y,DKK,CPI (YoY)  (Jun),jun,2020-07-10,14:00,,0.0%,0.0%
previous_missing_filled,EUR::Slovak Core CPI::m/m,EUR,Slovak Core CPI (MoM)  (Oct),oct,2020-11-12,16:00,,0.0%,0.0%
