Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2024-01-01,Monday,All Day,,Holiday,Argentina - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Australia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Austria - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Bahrain - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Bangladesh - Bank Holiday,,,
2024-01-01,Monday,All Day,,Holiday,Belgium - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Bosnia-Herzegovina - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Botswana - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Brazil - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Bulgaria - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Canada - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Chile - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,China - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Colombia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Costa Rica - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Croatia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Cyprus - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Czech Republic - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Denmark - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Egypt - Bank Holiday,,,
2024-01-01,Monday,All Day,,Holiday,Estonia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Finland - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,France - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Germany - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Greece - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Hong Kong - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Hungary - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Iceland - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Indonesia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Ireland - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Italy - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Jamaica - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Japan - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Jordan - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Kazakhstan - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Kenya - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Kuwait - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Latvia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Lebanon - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Lithuania - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Luxembourg - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Malaysia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Malta - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Mauritius - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Mexico - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Mongolia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Montenegro - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Morocco - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Namibia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Netherlands - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,New Zealand - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Nigeria - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Norway - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Palestinian Territory - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Peru - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Philippines - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Poland - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Portugal - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Qatar - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Romania - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Russia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Rwanda - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Serbia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Singapore - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Slovakia - Republic Day,,,
2024-01-01,Monday,All Day,,Holiday,Slovenia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,South Africa - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,South Korea - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Spain - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Sri Lanka - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Sweden - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Switzerland - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Taiwan - Republic Day,,,
2024-01-01,Monday,All Day,,Holiday,Tanzania - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Thailand - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Tunisia - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Türkiye - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Ukraine - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,United Arab Emirates - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,United Kingdom - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,United States - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Venezuela - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Vietnam - New Year's Day,,,
2024-01-01,Monday,All Day,,Holiday,Zimbabwe - New Year's Day,,,
2024-01-01,Monday,08:00,KRW,Low,Exports (YoY)  (Dec),5.1%,6.6%,7.7%
2024-01-01,Monday,08:00,KRW,Low,Imports (YoY)  (Dec),-10.8%,-11.4%,-11.6%
2024-01-01,Monday,08:00,KRW,Low,Trade Balance  (Dec),4.48B,6.26B,3.78B
2024-01-01,Monday,14:30,PEN,Low,CPI (MoM)  (Dec),0.41%,0.31%,-0.16%
2024-01-01,Monday,22:00,ILS,Low,Interest Rate Decision  (Jan),4.50%,4.63%,4.75%
2024-01-02,Tuesday,All Day,,Holiday,Bosnia-Herzegovina - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,Botswana - Market Holiday,,,
2024-01-02,Tuesday,All Day,,Holiday,Japan - Market Holiday,,,
2024-01-02,Tuesday,All Day,,Holiday,Kazakhstan - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,Malta - Market Holiday,,,
2024-01-02,Tuesday,All Day,,Holiday,Mauritius - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,Montenegro - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,New Zealand - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,Romania - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,Russia - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,Rwanda - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,Serbia - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,Slovenia - New Year's Day,,,
2024-01-02,Tuesday,All Day,,Holiday,Switzerland - New Year's Day,,,
2024-01-02,Tuesday,08:00,GBP,Low,BRC Shop Price Index (YoY),4.3%,,4.3%
2024-01-02,Tuesday,08:00,SGD,Low,GDP (QoQ)  (Q4),1.7%,,1.3%
2024-01-02,Tuesday,08:00,SGD,Low,GDP (YoY)  (Q4),2.8%,,1.0%
2024-01-02,Tuesday,08:30,KRW,Low,S&P Global South Korea Manufacturing PMI  (Dec),49.9,,50.0
2024-01-02,Tuesday,08:30,SGD,Low,URA Property Index (QoQ)  (Q4),2.70%,,0.80%
2024-01-02,Tuesday,12:00,IDR,Low,Core Inflation (YoY)  (Dec),1.80%,1.85%,1.87%
2024-01-02,Tuesday,12:00,IDR,Low,Inflation (MoM)  (Dec),0.41%,0.50%,0.38%
2024-01-02,Tuesday,12:00,IDR,Low,Inflation (YoY)  (Dec),2.61%,2.72%,2.86%
2024-01-02,Tuesday,13:30,AUD,Low,Commodity Prices (YoY),-10.7%,,-12.8%
2024-01-02,Tuesday,13:30,EUR,Low,Dutch Business Confidence  (Dec),-3.4,,-0.5
2024-01-02,Tuesday,14:00,EUR,Low,Estonian Retail Sales (MoM),-0.70%,,2.00%
2024-01-02,Tuesday,14:00,EUR,Low,Estonian Retail Sales (YoY),-8.80%,,-4.80%
2024-01-02,Tuesday,15:30,SEK,Low,Manufacturing PMI  (Dec),48.8,,49.0
2024-01-02,Tuesday,16:00,EUR,Low,Austrian Unemployment Change  (Dec),329.3K,,275.7K
2024-01-02,Tuesday,16:00,EUR,Low,Austrian Unemployment Rate  (Dec),7.8%,,6.5%
2024-01-02,Tuesday,16:00,HUF,Low,Manufacturing PMI  (Dec),52.8,,52.0
2024-01-02,Tuesday,17:00,EUR,Low,Loans to Non Financial Corporations  (Nov),0.0%,,-0.3%
2024-01-02,Tuesday,17:00,EUR,Low,M3 Money Supply (YoY)  (Nov),-0.9%,-1.0%,-1.0%
2024-01-02,Tuesday,17:00,EUR,Low,Private Sector Loans (YoY),0.5%,0.8%,0.6%
2024-01-02,Tuesday,17:00,NOK,Low,Manufacturing PMI  (Dec),51.7,,50.1
2024-01-02,Tuesday,19:00,EUR,Low,Car Registration (YoY)  (Nov),10.60%,,18.10%
2024-01-02,Tuesday,19:00,EUR,Low,Portuguese Business Confidence  (Dec),1.2,,1.0
2024-01-02,Tuesday,19:00,EUR,Low,Portuguese Consumer Confidence  (Dec),-28.20,,-28.20
2024-01-02,Tuesday,19:25,BRL,Low,BCB Focus Market Readout,,,
2024-01-02,Tuesday,19:30,CLP,Low,Economic Activity (YoY)  (Nov),1.2%,1.0%,0.3%
2024-01-02,Tuesday,21:55,EUR,Low,French 12-Month BTF Auction,3.215%,,3.333%
2024-01-02,Tuesday,21:55,EUR,Low,French 3-Month BTF Auction,3.757%,,3.729%
2024-01-02,Tuesday,21:55,EUR,Low,French 6-Month BTF Auction,3.663%,,3.690%
2024-01-02,Tuesday,22:50,NZD,Low,GlobalDairyTrade Price Index,1.2%,,2.3%
2024-01-02,Tuesday,23:00,USD,Low,Milk Auctions,"3,363.0",,"3,388.0"
2024-01-02,Tuesday,23:00,USD,Medium,Construction Spending (MoM)  (Nov),0.4%,0.5%,1.2%
2024-01-02,Tuesday,23:10,TRY,Low,Exports,23.00B,,23.00B
2024-01-02,Tuesday,23:10,TRY,Low,Trade Ministry Trade Balance,-6.11B,,-5.92B
2024-01-03,Wednesday,All Day,,Holiday,Japan - Market Holiday,,,
2024-01-03,Wednesday,All Day,,Holiday,Montenegro - New Year's Day,,,
2024-01-03,Wednesday,00:30,USD,Low,3-Month Bill Auction,5.245%,,5.260%
2024-01-03,Wednesday,00:30,USD,Low,6-Month Bill Auction,5.045%,,5.080%
2024-01-03,Wednesday,02:00,USD,Medium,Atlanta Fed GDPNow  (Q4),2.0%,2.3%,2.3%
2024-01-03,Wednesday,08:30,AUD,Low,RBA Chart Pack Release,,,
2024-01-03,Wednesday,09:00,ARS,Low,Tax Revenue  (Dec),"5,922.69B",,"4,679.00B"
2024-01-03,Wednesday,15:00,TRY,Low,PPI (MoM)  (Dec),1.14%,,2.81%
2024-01-03,Wednesday,15:00,TRY,Low,PPI (YoY)  (Dec),44.22%,,42.25%
2024-01-03,Wednesday,15:00,TRY,Low,"Turkey CPI Ex E,F,B,T&G (MoM)  (Dec)",2.3%,,2.0%
2024-01-03,Wednesday,15:00,TRY,Low,"Turkey CPI Ex E,F,B,T&G (YoY)  (Dec)",70.6%,,69.9%
2024-01-03,Wednesday,15:00,TRY,Medium,CPI (MoM)  (Dec),2.93%,3.13%,3.28%
2024-01-03,Wednesday,15:00,TRY,Medium,CPI (YoY)  (Dec),64.77%,65.10%,61.98%
2024-01-03,Wednesday,16:00,EUR,Medium,Spanish Unemployment Change,-27.4K,-15.7K,-24.6K
2024-01-03,Wednesday,16:30,CHF,Medium,Manufacturing PMI  (Dec),43.0,43.0,42.1
2024-01-03,Wednesday,16:55,EUR,Low,German Unemployment  (Dec),2.703M,,2.698M
2024-01-03,Wednesday,16:55,EUR,Low,German Unemployment n.s.a.  (Dec),2.637M,,2.606M
2024-01-03,Wednesday,16:55,EUR,Medium,German Unemployment Change  (Dec),5K,20K,21K
2024-01-03,Wednesday,16:55,EUR,Medium,German Unemployment Rate  (Dec),5.9%,5.9%,5.8%
2024-01-03,Wednesday,18:40,EUR,Low,German 2-Year Schatz Auction,2.440%,,2.640%
2024-01-03,Wednesday,19:00,EUR,Low,Latvian Industrial Production (MoM)  (Nov),-0.9%,,1.5%
2024-01-03,Wednesday,19:00,EUR,Low,Latvian Industrial Production (YoY)  (Nov),-3.4%,,0.5%
2024-01-03,Wednesday,19:30,BRL,Low,Current Account (USD)  (Nov),-1.60B,-0.40B,-0.23B
2024-01-03,Wednesday,19:30,BRL,Low,Foreign direct investment (USD)  (Nov),7.80B,3.90B,3.31B
2024-01-03,Wednesday,20:00,USD,Low,MBA 30-Year Mortgage Rate,6.76%,,6.83%
2024-01-03,Wednesday,20:00,USD,Low,MBA Mortgage Applications (WoW),-10.7%,,-1.5%
2024-01-03,Wednesday,20:00,USD,Low,MBA Purchase Index,140.7,,148.7
2024-01-03,Wednesday,20:00,USD,Low,Mortgage Market Index,173.5,,191.6
2024-01-03,Wednesday,20:00,USD,Low,Mortgage Refinance Index,358.2,,437.6
2024-01-03,Wednesday,21:00,SGD,Low,S&P Global Manufacturing PMI  (Dec),50.5,,50.3
2024-01-03,Wednesday,21:30,USD,Low,FOMC Member Barkin Speaks,,,
2024-01-03,Wednesday,21:55,USD,Low,Redbook (YoY),5.6%,,4.1%
2024-01-03,Wednesday,23:00,USD,High,ISM Manufacturing PMI  (Dec),47.4,47.1,46.7
2024-01-03,Wednesday,23:00,USD,High,ISM Manufacturing Prices  (Dec),45.2,47.5,49.9
2024-01-03,Wednesday,23:00,USD,High,JOLTS Job Openings  (Nov),8.790M,8.850M,8.852M
2024-01-03,Wednesday,23:00,USD,Low,ISM Manufacturing New Orders Index  (Dec),47.1,49.1,48.3
2024-01-03,Wednesday,23:00,USD,Medium,ISM Manufacturing Employment  (Dec),48.1,46.5,45.8
2024-01-04,Thursday,All Day,,Holiday,Montenegro - New Year's Day,,,
2024-01-04,Thursday,00:00,DKK,Low,Currency Reserves  (Dec),612.70B,,616.90B
2024-01-04,Thursday,02:00,USD,Medium,Atlanta Fed GDPNow  (Q4),2.5%,2.0%,2.0%
2024-01-04,Thursday,02:30,TRY,Low,Gross FX Reserves,92.83B,,97.56B
2024-01-04,Thursday,03:00,USD,High,FOMC Meeting Minutes,,,
2024-01-04,Thursday,05:00,KRW,Low,FX Reserves - USD  (Dec),420.15B,,417.08B
2024-01-04,Thursday,05:30,USD,Medium,API Weekly Crude Oil Stock,-7.418M,-2.967M,1.837M
2024-01-04,Thursday,14:30,EUR,Low,North Rhine Westphalia CPI (MoM)  (Dec),-0.1%,,-0.3%
2024-01-04,Thursday,14:30,EUR,Low,North Rhine Westphalia CPI (YoY)  (Dec),3.5%,,3.0%
2024-01-04,Thursday,15:00,DKK,Low,M3 Money Supply  (Nov),"1,908.1B",,"1,900.3B"
2024-01-04,Thursday,15:00,RON,Low,PPI (YoY)  (Nov),-2.55%,,-2.24%
2024-01-04,Thursday,15:30,HUF,Low,Trade Balance (EUR) (MoM)  (Nov),"1,718.0M",,"1,000.0M"
2024-01-04,Thursday,15:30,SEK,Low,Services PMI (MoM)  (Dec),50.0,,48.5
2024-01-04,Thursday,15:45,EUR,Low,French CPI (YoY)  (Dec),3.7%,3.8%,3.5%
2024-01-04,Thursday,15:45,EUR,Low,French HICP (YoY),4.1%,4.1%,3.9%
2024-01-04,Thursday,15:45,EUR,Medium,French CPI (MoM)  (Dec),0.1%,0.2%,-0.2%
2024-01-04,Thursday,15:45,EUR,Medium,French HICP (MoM),0.1%,0.3%,-0.2%
2024-01-04,Thursday,16:30,HKD,Low,Retail Sales (YoY)  (Nov),15.9%,,5.6%
2024-01-04,Thursday,17:00,EUR,Low,Baden Wuerttemberg CPI (MoM),0.1%,,-0.3%
2024-01-04,Thursday,17:00,EUR,Low,Baden Wuerttemberg CPI (YoY)  (Dec),3.8%,,3.4%
2024-01-04,Thursday,17:00,EUR,Low,Bavaria CPI (MoM)  (Dec),0.1%,,-0.4%
2024-01-04,Thursday,17:00,EUR,Low,Bavaria CPI (YoY)  (Dec),3.4%,,2.8%
2024-01-04,Thursday,17:00,EUR,Low,Brandenburg CPI (MoM)  (Dec),0.0%,,-0.3%
2024-01-04,Thursday,17:00,EUR,Low,Brandenburg CPI (YoY)  (Dec),4.5%,,4.1%
2024-01-04,Thursday,17:00,EUR,Low,Hesse CPI (MoM)  (Dec),0.0%,,-0.4%
2024-01-04,Thursday,17:00,EUR,Low,Hesse CPI (YoY)  (Dec),3.5%,,2.9%
2024-01-04,Thursday,17:00,EUR,Low,Saxony CPI (MoM)  (Dec),0.2%,,-0.3%
2024-01-04,Thursday,17:00,EUR,Low,Saxony CPI (YoY)  (Dec),4.3%,,3.9%
2024-01-04,Thursday,17:30,CZK,Low,Budget Balance  (Dec),-288.500B,,-269.100B
2024-01-04,Thursday,17:30,GBP,Low,BoE Consumer Credit  (Nov),2.005B,1.400B,1.411B
2024-01-04,Thursday,17:30,GBP,Low,M3 Money Supply  (Nov),"2,984.7B",,"2,987.0B"
2024-01-04,Thursday,17:30,GBP,Low,M4 Money Supply (MoM)  (Nov),-0.1%,0.2%,0.3%
2024-01-04,Thursday,17:30,GBP,Low,Mortgage Approvals  (Nov),50.07K,48.50K,47.89K
2024-01-04,Thursday,17:30,GBP,Low,Mortgage Lending  (Nov),-0.04B,,-0.08B
2024-01-04,Thursday,17:30,GBP,Low,Net Lending to Individuals,2.0B,1.6B,1.3B
2024-01-04,Thursday,17:55,EUR,Low,French Car Registration (YoY),14.5%,,14.0%
2024-01-04,Thursday,18:00,EUR,Low,French 10-Year OAT Auction,2.59%,,2.75%
2024-01-04,Thursday,18:00,EUR,Low,French 30-Year OAT Auction,3.13%,,3.92%
2024-01-04,Thursday,18:00,EUR,Low,Greek Unemployment Rate  (Nov),9.4%,,9.4%
2024-01-04,Thursday,18:00,EUR,Low,Spanish 3-Year Bonos Auction,2.582%,,3.245%
2024-01-04,Thursday,18:00,EUR,Low,Spanish 30-Year Obligacion Auction,3.693%,,4.465%
2024-01-04,Thursday,18:00,EUR,Low,Spanish 5-Year Bonos Auction,2.621%,,3.334%
2024-01-04,Thursday,18:00,GBP,Low,15-Year Treasury Gilt Auction,4.067%,,4.871%
2024-01-04,Thursday,18:00,NOK,Low,House Price Index (YoY)  (Dec),0.50%,,0.50%
2024-01-04,Thursday,19:00,EUR,Low,Irish HICP (MoM),0.4%,,-0.9%
2024-01-04,Thursday,19:00,EUR,Low,Irish HICP (YoY),3.2%,,2.5%
2024-01-04,Thursday,19:30,BRL,Low,Bank lending (MoM)  (Nov),0.9%,,0.3%
2024-01-04,Thursday,19:30,TRY,Low,Net FX Reserves,34.95%,,40.09%
2024-01-04,Thursday,20:00,BRL,Low,Brazilian PPI (MoM)  (Nov),-0.43%,,1.07%
2024-01-04,Thursday,20:30,USD,Low,All Car Sales  (Dec),3.07M,,3.00M
2024-01-04,Thursday,20:30,USD,Low,All Truck Sales  (Dec),12.76M,,12.34M
2024-01-04,Thursday,20:30,USD,Low,Challenger Job Cuts  (Dec),34.817K,,45.510K
2024-01-04,Thursday,20:30,USD,Low,Challenger Job Cuts (YoY),-20.2%,,-40.8%
2024-01-04,Thursday,21:00,EUR,High,German CPI (MoM)  (Dec),0.1%,0.1%,-0.4%
2024-01-04,Thursday,21:00,EUR,Low,German HICP (MoM)  (Dec),0.2%,0.3%,-0.7%
2024-01-04,Thursday,21:00,EUR,Low,German HICP (YoY)  (Dec),3.8%,3.8%,2.3%
2024-01-04,Thursday,21:00,EUR,Medium,German CPI (YoY)  (Dec),3.7%,3.7%,3.2%
2024-01-04,Thursday,21:15,CAD,Low,Reserve Assets Total  (Dec),118.3B,,115.4B
2024-01-04,Thursday,21:15,USD,High,ADP Nonfarm Employment Change  (Dec),164K,115K,101K
2024-01-04,Thursday,21:30,USD,High,Initial Jobless Claims,202K,216K,220K
2024-01-04,Thursday,21:30,USD,Low,Jobless Claims 4-Week Avg.,207.75K,,212.50K
2024-01-04,Thursday,21:30,USD,Medium,Continuing Jobless Claims,"1,855K","1,883K","1,886K"
2024-01-04,Thursday,22:50,EGP,Low,Foreign Reserves (USD)  (Dec),35.22B,,35.17B
2024-01-04,Thursday,23:00,EUR,Low,Irish Exchequer Returns  (Dec),1.200B,,5.400B
2024-01-04,Thursday,23:00,MXN,Medium,Monetary Policy Meeting Minutes,,,
2024-01-04,Thursday,23:00,USD,Low,Total Vehicle Sales  (Dec),15.83M,15.50M,15.34M
2024-01-04,Thursday,23:30,USD,Low,Natural Gas Storage,-14B,-40B,-87B
2024-01-05,Friday,All Day,,Holiday,Montenegro - New Year's Day,,,
2024-01-05,Friday,00:00,USD,High,Crude Oil Inventories,-5.503M,-3.725M,-7.114M
2024-01-05,Friday,00:00,USD,Low,Crude Oil Imports,-0.758M,,-0.268M
2024-01-05,Friday,00:00,USD,Low,Distillate Fuel Production,0.115M,,0.243M
2024-01-05,Friday,00:00,USD,Low,EIA Refinery Crude Runs  (WoW),0.121M,,0.058M
2024-01-05,Friday,00:00,USD,Low,EIA Weekly Distillates Stocks,10.090M,0.588M,0.741M
2024-01-05,Friday,00:00,USD,Low,EIA Weekly Refinery Utilization Rates (WoW),0.2%,,0.9%
2024-01-05,Friday,00:00,USD,Low,Gasoline Inventories,10.900M,-0.215M,-0.669M
2024-01-05,Friday,00:00,USD,Low,Gasoline Production,-1.275M,,-0.008M
2024-01-05,Friday,00:00,USD,Low,Heating Oil Stockpiles,-0.433M,,0.286M
2024-01-05,Friday,00:00,USD,Medium,Cushing Crude Oil Inventories,0.706M,,1.508M
2024-01-05,Friday,00:30,USD,Low,4-Week Bill Auction,5.290%,,5.325%
2024-01-05,Friday,00:30,USD,Low,8-Week Bill Auction,5.285%,,5.285%
2024-01-05,Friday,01:30,BRL,Low,Foreign Exchange Flows,-13.057B,-8.755B,-8.170B
2024-01-05,Friday,05:30,USD,Low,Reserve Balances with Federal Reserve Banks,3.459T,,3.434T
2024-01-05,Friday,05:30,USD,Medium,Fed's Balance Sheet,"7,681B",,"7,713B"
2024-01-05,Friday,07:50,JPY,Low,Monetary Base (YoY)  (Dec),7.9%,9.0%,8.9%
2024-01-05,Friday,09:00,PHP,Low,CPI (MoM)  (Dec),0.2%,0.3%,0.2%
2024-01-05,Friday,09:00,PHP,Low,CPI (YoY)  (Dec),3.9%,4.0%,4.1%
2024-01-05,Friday,09:00,PHP,Low,Core CPI (YoY)  (Dec),4.4%,,4.7%
2024-01-05,Friday,11:30,THB,Low,CPI (YoY)  (Dec),-0.83%,-0.30%,-0.44%
2024-01-05,Friday,11:30,THB,Low,Core CPI (YoY)  (Dec),0.58%,0.60%,0.58%
2024-01-05,Friday,13:00,JPY,Low,Household Confidence  (Dec),37.2,36.6,36.1
2024-01-05,Friday,13:00,SGD,Low,Retail Sales (MoM)  (Nov),0.5%,,-0.9%
2024-01-05,Friday,13:00,SGD,Low,Retail Sales (YoY)  (Nov),2.5%,,-0.1%
2024-01-05,Friday,13:30,EUR,Low,Dutch CPI (YoY),1.2%,,1.6%
2024-01-05,Friday,14:00,EUR,Low,Estonian Industrial Production (MoM)  (Nov),2.70%,,-0.50%
2024-01-05,Friday,14:00,EUR,Low,Estonian Industrial Production (YoY)  (Nov),-5.80%,,-12.20%
2024-01-05,Friday,15:00,DKK,Low,Unemployment Rate  (Nov),2.5%,,2.5%
2024-01-05,Friday,15:00,EUR,Low,German Retail Sales (YoY)  (Nov),-2.4%,-0.5%,-0.1%
2024-01-05,Friday,15:00,EUR,Medium,German Retail Sales (MoM)  (Nov),-2.5%,-0.1%,1.1%
2024-01-05,Friday,15:00,GBP,Medium,Halifax House Price Index (MoM)  (Dec),1.1%,0.1%,0.6%
