Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2019-01-01,Tuesday,All Day,,Holiday,Argentina - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Australia - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Austria - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Bahrain - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Belgium - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Bosnia-Herzegovina - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Botswana - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Brazil - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Bulgaria - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Canada - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Chile - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,China - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Colombia - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Costa Rica - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Cote D'Ivoire - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Croatia - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Cyprus - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Czech Republic - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Denmark - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Egypt - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Estonia - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Finland - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,France - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Germany - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Greece - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Hong Kong - The first day of January,,,
2019-01-01,Tuesday,All Day,,Holiday,Hungary - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Iceland - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Indonesia - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Iraq - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Ireland - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Italy - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Jamaica - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Japan - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Jordan - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Kazakhstan - New Year,,,
2019-01-01,Tuesday,All Day,,Holiday,Kenya - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Kuwait - New Year's Day,,,
2019-01-01,Tuesday,All Day,,Holiday,Latvia - New Year's Day,,,
