Date,Day,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
2008-01-01,Tuesday,17:00,USD,High,10-Year Note Auction  (Dec),4.25%,,4.25%
2008-01-01,Tuesday,17:00,USD,Medium,5-Year Note Auction  (Dec),3.63%,,3.38%
2008-01-01,Tuesday,17:00,USD,Low,All Car Sales  (Dec),7.60M,,7.91M
2008-01-01,Tuesday,17:00,USD,Low,All Truck Sales  (Dec),8.12M,,8.13M
2008-01-01,Tuesday,17:00,GBP,Medium,Average Earnings Index +Bonus  (Dec),4.00%,,4.80%
2008-01-01,Tuesday,17:00,GBP,Low,Average Earnings ex Bonus  (Dec),4.00%,,4.20%
2008-01-01,Tuesday,17:00,USD,High,Average Hourly Earnings (MoM)  (Dec),0.30%,,0.20%
2008-01-01,Tuesday,17:00,USD,Low,Average Weekly Hours  (Dec),34.60,,34.50
2008-01-01,Tuesday,17:00,GBP,Medium,BRC Retail Sales Monitor (YoY)  (Dec),0.30%,,1.20%
2008-01-01,Tuesday,17:00,GBP,Low,BoE Consumer Credit  (Dec),0.10B,,0.82B
2008-01-01,Tuesday,17:00,CAD,Low,Budget Balance  (Dec),1.84B,,0.49B
2008-01-01,Tuesday,17:00,CAD,Low,Budget Balance (YoY)  (Dec),8.45B,,6.60B
2008-01-01,Tuesday,17:00,CAD,Medium,Building Permits (MoM)  (Dec),0.00%,,-9.30%
2008-01-01,Tuesday,17:00,USD,Medium,Business Inventories (MoM)  (Dec),0.70%,,0.60%
2008-01-01,Tuesday,17:00,USD,High,CB Consumer Confidence  (Dec),90.60,,87.80
2008-01-01,Tuesday,17:00,USD,Low,CB Employment Trends Index  (Dec),124.40,,125.00
2008-01-01,Tuesday,17:00,GBP,Low,CBI Distributive Trades Survey  (Dec),8.00,,13.00
2008-01-01,Tuesday,17:00,GBP,Low,CBI Industrial Trends Orders  (Dec),2.00,,8.00
2008-01-01,Tuesday,17:00,CAD,Medium,CPI (MoM)  (Dec),0.10%,,0.30%
2008-01-01,Tuesday,17:00,GBP,Medium,CPI (MoM)  (Dec),0.60%,,0.30%
2008-01-01,Tuesday,17:00,MXN,Medium,CPI (MoM)  (Dec),0.41%,,0.71%
2008-01-01,Tuesday,17:00,SEK,Medium,CPI (MoM)  (Dec),0.20%,,0.60%
2008-01-01,Tuesday,17:00,SEK,Medium,CPI (YoY)  (Dec),3.50%,,3.30%
2008-01-01,Tuesday,17:00,MXN,Medium,CPI (YoY)  (Dec),3.76%,,3.93%
2008-01-01,Tuesday,17:00,CAD,Low,CPI (YoY)  (Dec),2.40%,,2.50%
2008-01-01,Tuesday,17:00,GBP,High,CPI (YoY)  (Dec),2.10%,,2.10%
2008-01-01,Tuesday,17:00,USD,Low,"CPI Index, n.s.a.  (Dec)",210.04,,210.18
2008-01-01,Tuesday,17:00,USD,Low,Capacity Utilization Rate  (Dec),80.80%,,80.80%
